date_start,date_end,event
2017-01-01,,Вступил в должность 9-й генеральный секретарь ООН Антониу Гутерреш.
2017-01-01,,Кыргызстан ввёл в обращение новые банкноты.
2017-01-01,,"В результате нападения на ночной клуб «Reina» в Стамбуле в новогоднюю ночь погибли 39 человек, 69 человек получили ранения."
2017-01-01,,Дорис Лойтхард вступила в должность президента Швейцарии.
2017-01-04,,Новым главой правительства румынии стал сорин гриндяну.
2017-01-07,,Вступил в должность президент ганы нана акуфо-аддо.
2017-01-10,,"В результате двойного теракта возле зданий парламента афганистана в кабуле погибли около 50 человек, ранены около 45."
2017-01-11,2017-01-29,чемпионат мира по гандболу во Франции.
2017-01-16,,В бишкеке (кыргызстан) грузовой самолёт boeing-747 рухнул на посёлок дача-суу. погибли 37 человек.
2017-01-18,,ЦРУ обнародовало рассекреченные документы о холодной войне и НЛО.
2017-01-18,,"В итальянских областях Лацио, Абруцци и Марке в течение нескольких часов произошли четыре сильных землетрясения магнитудой до 5,7. 29 человек погибли под завалами после схода снежной лавины на отель «Ригопьяно» в области Абруцци."
2017-01-18,2017-02-09,протесты в Румынии.
2017-01-20,,Дональд трамп вступил в должность президента сша на один четырёхлетний срок с завершением президентства барака обамы.
2017-01-21,,"Яйя джамме согласился оставить пост президента гамбии, в должность вступил адама бэрроу."
2017-01-22,,"Саммит министров сельского хозяйства G20 в Берлине, Германия."
2017-01-22,,Румен Радев вступил в должность президента Болгарии.
2017-01-24,2017-02-05,чемпионат мира по хоккею с мячом в Швеции.
2017-01-26,,Александр ван дер беллен вступил в должность президента австрии.
2017-01-27,,Близ города рутшуру (др конго) потерпели крушение два вертолёта ми-24.
2017-01-29,2017-02-08,"зимняя Универсиада (Алма-Ата, Казахстан)."
2017-02-07,,В американском штате Калифорния после сильных дождей началось разрушение самой высокой в США плотины на озере Оровилл. В Калифорнии объявлена эвакуация населения. Под угрозой — почти 200 тысяч человек.
2017-02-07,,Жовенель Моиз вступил в должность президента Гаити.
2017-02-08,,Президентские выборы в сомали. избран мохамед абдуллахи мохамед.
2017-02-12,,Президентские выборы в Туркменистане. Президентом в третий раз избран Гурбангулы Бердымухамедов.
2017-02-12,,Президентские выборы в Германии. Избран Франк-Вальтер Штайнмайер.
2017-02-13,,Вынужденная отставка Майкла Флинна с поста советника президента США по национальной безопасности.
2017-02-13,,"Убийство Ким Чен Нама в Куала-Лумпуре, вызвавшее острый кризис в отношениях Малайзии с КНДР."
2017-02-19,2017-02-26,"VIII Зимние Азиатские игры в Саппоро, Япония."
2017-02-27,,Энергоблок № 6 нововоронежской аэс-2 введён в промышленную эксплуатацию.
2017-03-06,,Митрополит феогност включён в собор московских святителей.
2017-03-10,,Конституционный суд южной кореи утвердил импичмент президента пак кын хе.
2017-03-12,,Парламентские выборы в абхазии (первый тур).
2017-03-13,,Парламент венгрии переизбрал на второй срок президента яноша адера.
2017-03-15,,Парламентские выборы в нидерландах.
2017-03-19,,Франк-вальтер штайнмайер вступил в должность президента германии.
2017-03-22,,Теракт на вестминстерском мосту в лондоне.
2017-03-26,,Парламентские выборы в Абхазии (второй тур).
2017-03-26,,"Парламентские выборы в Болгарии. По предварительным данным, победу одержала партия ГЕРБ."
2017-03-26,,"Акции протеста против коррупции в высших эшелонах российской власти, прошедшие в десятках городов России."
2017-03-29,2017-04-02,чемпионат мира по фигурному катанию (Финляндия).
2017-04-02,,Парламентские выборы в Армении. Большинство голосов набрали Республиканская партия и блок «Царукян».
2017-04-02,,Президентские выборы в Сербии. Победу одержал действующий премьер-министр Александр Вучич.
2017-04-02,,Второй тур выборов президента Эквадора. Победу одержал представитель правящего левого блока Альянс гордой и независимой родины Ленин Морено.
2017-04-03,,"Теракт в петербургском метрополитене. погибли 16 человек, 87 ранены."
2017-04-04,,"Поражение населения химическими отравляющими веществами в сирийском городе хан-шейхун (провинция идлиб). погибли 74 человека, ранены 557 человек."
2017-04-07,,"Авиаудар крылатыми ракетами «томагавк» по сирийской авиабазе «эш-шайрат» в провинции хомс, нанесённый после химической атаки в идлибе."
2017-04-09,,Президентские выборы и конституционный референдум в южной осетии. на выборах президента победу одержал анатолий бибилов.
2017-04-10,,"На землю вернулся экипаж космического корабля союз мс-02 в составе сергея рыжикова, андрея борисенко и роберта кимбро."
2017-04-11,,Прекращена поддержка обновлений операционной системы windows vista.
2017-04-16,,Конституционный референдум в турции о переходе от парламентской формы правления к президентской республике.
2017-04-20,,Запуск на мкс космического корабля союз мс-04 с экипажем в составе фёдора юрчихина (россия) и джека фишера (сша).
2017-04-21,,Анатолий бибилов вступил в должность президента южной осетии.
