date_start,date_end,event
2024-01-01,,Окончательная интеграция Нагорного Карабаха в состав Азербайджана. Упразднение Республики Арцах.
2024-01-01,,Вступление Бразилии в ОПЕК+.
2024-01-01,,"Вступление Египта, Ирана, ОАЭ, Саудовской Аравии (де-факто) и Эфиопии в состав БРИКС."
2024-01-01,,"Серия землетрясений в Японии магнитудой до 7,6. Погибли 232 человека."
2024-01-01,,"Эфиопия объявляет о заключении соглашения с Сомалилендом об использовании порта Бербера. Эфиопия также заявляет, что в конечном итоге признаёт независимость Сомалиленда, став первой страной, сделавшей это."
2024-01-02,,"В Республике Корея за три месяца до парламентских выборов совершено покушение на лидера оппозиции Ли Чжэ Мёна, в ходе которого он получил ножевое ранение шеи."
2024-01-02,,"При столкновении пассажирского Airbus A350 с DHC-8-315 Dash 8 береговой охраны Японии на ВПП в аэропорту Токио погибли 5 человек, 18 пострадали. Все 379 человек на борту A350 спасены."
2024-01-02,,Всеобщие выборы на Маршалловых островах: Законодательное собрание Маршалловых Островов избирает Хильду Хайне президентом на второй срок подряд во время своей первой сессии после всеобщих выборов.
2024-01-03,,Теракт на кладбище в кермане (иран).
2024-01-07,,"Парламентские выборы в бангладеш. партия лига авами, возглавляемая действующей шейх хасиной, побеждает на четвёртый срок подряд на фоне протестов оппозиционных партий и значительного снижения явки избирателей."
2024-01-08,,"Запуск коммерческого лунного посадочного модуля peregrine, произведённого компанией astrobotic technology. запуск осуществлялся с помощью новой ракеты-носитель vulcan."
2024-01-09,,Президент эквадора даниэль нобоа ввёл чрезвычайное положение в стране после побега из тюрьмы строгого режима одного из лидеров наркокартеля «лос чонерос» и начала вооружённых столкновений между правительством и наркокартелями.
2024-01-11,,"Беспорядки начались по всей папуа — новой гвинее после того, как предполагаемая ошибка округления привела к сокращению заработной платы сотрудникам полиции и солдатам."
2024-01-12,,Сша и великобритания нанесли серию авиаударов по йемену.
2024-01-13,,Президентские выборы на тайване: лай циндэ из правящей демократической прогрессивной партии побеждает с 40 % голосов.
2024-01-14,,Отречение от престола датской королевы Маргрете II. Новым королём Дании стал Фредерик X.
2024-01-14,,"Президентские выборы на Коморских островах: на фоне бойкота оппозиции действующий президент Азали Ассумани побеждает на переизбрании, набрав 62,9 % голосов при явке всего 16,3 % избирателей."
2024-01-15,2024-01-18,протесты в Башкортостане (Россия).
2024-01-15,,"После краткого политического кризиса, последовавшего за выборами 2023 года, бернардо аревало вступил в должность 52-го президента гватемалы."
2024-01-19,,"Япония становится пятой страной, совершившей мягкую посадку на луну в рамках миссии slim."
2024-01-23,,"Землетрясение в акчи магнитудой до 7,1 баллов. эпицентр находился в синьцзяне (китай). погибли 3 человека, 74 получили ранения."
2024-01-24,,Сбит российский ил-76 в белгородской области.
2024-01-26,,"Парламентские выборы в тувалу. каусеа натано, действующий премьер-министр тувалу, проигрывает переизбрание в парламент. месяц спустя фелети тео был избран премьер-министром."
2024-01-28,,"Буркина-Фасо, Мали и Нигер вышли из ЭКОВАС."
2024-01-28,,Президентские выборы в Финляндии.
2024-01-31,,"Вступление на престол избранного короля малайзии ибрагима исмаила, который также является султаном джохора."
2024-02-02,,Крупная авария на тэц бишкека.
2024-02-03,,В результате удара по лисичанску погибли министр чрезвычайных ситуаций аннексированной россией лнр алексей потелещенко и два депутата местной оккупационной администрации. россия заявила о 28 погибших.
2024-02-04,,"Президент Намибии Хаге Гейнгоб умер в возрасте 82 лет, и его преемником стал вице-президент Нанголо Мбумба."
2024-02-04,,"Всеобщие выборы в Сальвадоре. Действующий президент Найиб Букеле победил на выборах, набрав более 80 % голосов, став первым президентом, переизбранным в Сальвадоре с 1944 года."
2024-02-06,,Президент России Владимир Путин дал интервью американскому политическому обозревателю Такеру Карлсону. Данное интервью стало первым интервью Путина западному журналисту с момента вторжения России на Украину.
2024-02-06,,"В результате крушения вертолёта в озере Ранко, погиб Себастьян Пиньера, бывший президент Чили."
2024-02-07,,"Проведение внеочередных президентских выборов в азербайджане. действующий президент ильхам алиев переизбран на пятый срок, набрав 92,12 % голосов."
2024-02-08,,"Парламентские выборы в Пакистане. Независимые политики, большинство из которых являются членами запрещённой политической партии «Движение за справедливость», получают большинство мест в Национальной ассамблее."
2024-02-08,,Бывший президент Бразилии Жаир Болсонару арестован по обвинению в попытке государственного переворота в рамках операции «Время истины».
2024-02-10,,Президент венгрии каталин новак подала в отставку. исполнять обязанности президента стал ласло кёвер.
2024-02-11,,Второй тур выборов президента финляндии. победу одержал александр стубб.
2024-02-12,2024-02-18,"Чемпионат Европы по борьбе 2024 (Бухарест, Румыния)."
2024-02-14,,Проведение президентских выборов в индонезии.
2024-02-15,,"Обстрел белгорода. погибло 7 человек, 20 пострадало."
2024-02-16,,В харпе скончался российский оппозиционер алексей навальный.
2024-02-17,,Вторжение россии на украину: бои за авдеевку завершились оккупацией города россией.
2024-02-22,,"Посадочный модуль nova-c американской компании intuitive machines становится первым коммерческим аппаратом, совершившим посадку на луну."
2024-02-23,,Армения де-факто заморозила своё участие в одкб.
2024-02-25,,Единый день голосования в беларуси.
2024-02-26,,Президентские выборы в венгрии. избран тамаш шуйок.
2024-02-29,2024-03-07,проведение российского Всемирного фестиваля молодёжи.
2024-03-01,,Переход Казахстана на единый часовой пояс.
2024-03-01,,Парламентские выборы в Иране.
2024-03-01,,Наводнение в Бразилии. Погибло около 40 человек.
2024-03-01,,Похороны Алексея Навального.
2024-03-01,,Александр Стубб вступил в должность президента Финляндии.
2024-03-07,,Вступление Швеции в НАТО.
