date_start,date_end,event
2001-01-01,,Греция стала 12-й страной в Еврозоне.
2001-01-07,,"Во втором туре парламентских выборов в Азербайджане победу одержала партия «Новый Азербайджан», которая завоевала 75 из 125 мест."
2001-01-07,,В Гане впервые с 1979 года происходит мирная передача власти. Она произошла когда Джон Куфуор принял присягу в качестве Президента Ганы.
2001-01-07,,Сенегальский конституционный референдум.
2001-01-09,,"В Пакистане в провинции Синд близ города Котри сошёл с рельсов следовавший из Пешавара пассажирский поезд. Погибли более 15 человек, травмы получили порядка 200 человек."
2001-01-09,,"Apple Inc. запустили iTunes, программное обеспечение которое выполняет функции медиаплеера и медиа библиотеки."
2001-01-10,,Первый выход в свет википедии как части «нупедии». через 5 дней википедия становится самостоятельным сайтом.
2001-01-13,,Землетрясение в сальвадоре.
2001-01-14,,"Начался второй этап акции «украина без кучмы», который длился до 1 марта. всё это время на крещатике и майдане независимости проводились массовые акции протеста, митинги и манифестации. 1 марта палаточный городок на крещатике был ликвидирован силовыми подразделениями."
2001-01-15,,"Начал работу первый раздел «википедии», wiki-энциклопедии со свободно редактируемым и распространяемым содержимым."
2001-01-16,,"Убийство лорана-дезире кабилы: президент демократической республики конго был застрелен в своём офисе во дворце мраморного дворца в киншасе во времена второй конголезской войны и был доставлен в хараре, столицу зимбабве на лечение. про его смерть сообщили спустя 2 дня после покушения хоть он и умер в тот день, после его смерти его заменил его сын жозеф кабила."
2001-01-16,,Диагностирован последний задокументированный случай вспышки лихорадки Эболы в Уганде 2000—2001.
2001-01-17,,"Евреи, пережившие холокост, добились компенсации от властей австрии за имущество, конфискованное в период правления нацистов."
2001-01-17,2001-01-20,"Вторая народная революция на Филиппинах, свержение Джозефа Эстрады. Преемницей стала вице-президент Глория Макапагал-Арройо."
2001-01-19,,В Бельгии разрешено употребление и хранение марихуаны.
2001-01-19,,Юлия Тимошенко освобождена от должности вице-премьера Украины в связи с привлечением её к уголовной ответственности.
2001-01-19,,Отключены сервера первого в мире мессенджера PowWow.
2001-01-20,,"В сша прекращение полномочий президента билла клинтона, инаугурация джорджа буша-младшего. это событие сопровождалось акциями протеста тех, кто был против прихода к власти кандидата республиканцев, получившего меньшее количество голосов избирателей, чем его соперник альберт гор, но признанного победителем решением верховного суда."
2001-01-22,,Начало войны в македонии (продолжалась до 12 ноября).
2001-01-23,,Групповое самосожжение на площади Тяньаньмэнь.
2001-01-23,,Попытка угона рейса 448.
2001-01-23,,"Международный трибунал по бывшей Югославии повторно выдал ордер на арест Слободана Милошевича, Милана Мулутиновича, Николы Саиновича, Драголюба Оянича и Владко Стойльковича."
2001-01-25,,Армения и азербайджан стали полноправными членами совета европы.
2001-01-26,,"В индии в штате гуджарат произошло землетрясение магнитудой 7,6. по различным оценкам, погибло от 14 до 20 тысяч человек, разрушено около 400 тысяч зданий."
2001-01-31,,В небе японии едва не столкнулись два авиалайнера компании japan airlines.
2001-02-05,,В москве в 18:50 произошёл взрыв на станции метро «белорусская-кольцевая».
2001-02-06,,Партия «Ликуд» во главе с Ариэлем Шароном выиграла парламентские выборы в Израиле.
2001-02-06,,Папа Римский Иоанн Павел II избрал святого Исидора Севильского покровителем Интернета.
2001-02-07,,"102-й старт (sts-98) по программе спейс шаттл. 23-й полёт шаттла атлантис. экипаж — кеннет кокрелл, марк ролански, роберт курбим, марша айвинс, томас джоунс. доставка модуля «дестини» для мкс."
2001-02-08,,Узбекистан и мьянма установили дипломатические отношения.
2001-02-09,,Премьер-министром таиланда стал таксин чиннават.
2001-02-09,2001-02-11,парламентские выборы в Лихтенштейне. Прогрессивная гражданская партия получила 13 и 25 мест в Ландтаге .
2001-02-13,,"Столкновение пригородного поезда с автопоездом на переезде участка белоостров — дибуны. погиб 1 пассажир, 10 получили ранения ."
2001-02-14,,Первая в истории посадка космического аппарата на астероид: завершивший свою космическую миссию аппарат «near shoemaker» приземлился на астероид 433 эрос .
2001-02-14,2001-02-15,"в Бахрейне в ходе референдума подавляющее большинство избирателей проголосовало за демократические реформы. 98,4 % избирателей одобрили национальную хартию, предусматривающую преобразование Эмирата в конституционную монархию с парламентом."
2001-02-16,,"В приштине (косово) произошёл теракт — подрыв автобуса «ниш-экспресс». погибли 12 человек, 22 пострадали."
2001-02-18,,"Арестован роберт ханссен, высокопоставленный сотрудник фбр, работавший на москву."
2001-02-19,,Начало трансляции телеигры «кто хочет стать миллионером?» на телеканале орт .
2001-02-20,,"Состоялся всенародный референдум, на котором были одобрены поправки к конституции, направленные на укрепление личной власти президента йеменской республики. срок его полномочий увеличился до 7 лет (ранее — пять) ."
2001-02-22,,По приказу лидера и исполненный участниками организованного преступного сообщества «общак» совершён поджог кафе «чародейка» в городе комсомольск-на-амуре .
2001-02-25,,"Парламентские выборы в молдове, победу в них одержала партия коммунистов, получившая 50,07 % голосов, 71 мест в парламенте (из 101) и возможность формировать правительство и избрать президента страны ."
2001-02-26,,"Подписан ниццкий договор, который внёс изменения в маастрихтский договор (или договор о европейском союзе), а также римский договор (или договор о создании европейского сообщества). этот договор стал следующим шагом в процессе дальнейшего реформирования евросоюза. он содержал статьи и декларации, протоколы и прочие приложения ."
2001-02-28,,"В великобритании близ города шелби произошло столкновение пассажирского и грузового поездов. погибли 10 человек, 82 пострадали."
2001-03-01,,Введён полномасштабный визовый режим между Россией и Грузией.
2001-03-01,,В Болгарии прошла перепись населения.
2001-03-04,,В Афганистане талибы начали разрушение древних гигантских статуй Будды. В течение нескольких дней две статуи были разрушены полностью.
2001-03-04,,Большинство жителей Швейцарии проголосовали против присоединения страны к Европейскому союзу.
2001-03-04,,"Боевики Подлинной Ирландской республиканской армии заложили бомбу в автомобиль около телецентра Би-би-си, расположенного на Вуд-Лэйн в Уайт-Сити, в Западном Лондоне. В результате взрыва пострадал один человек."
2001-03-07,,Ариэль шарон избран на пост главы правительства израиля.
2001-03-08,,"103-й старт (sts-102) по программе спейс шаттл. 29-й полёт шаттла дискавери. экипаж — джеймс уэзерби, джеймс келли, эндрю томас, пол ричардс, джеймс восс, сьюзан хэлмс, юрий усачёв(россия)."
2001-03-09,,"В день рождения т. шевченко у его памятника в киеве состоялась очередная демонстрация «украина без кучмы», а несколько её членов были задержаны правоохранительными органами. сразу после этого большинство митингующих отправились в киевское управление мвд с требованием освободить задержанных возле парка шевченко. завершилось шествие возле администрации президента на ул. банковой массовыми столкновениями между участниками акции и отрядами «беркута». демонстрации «убк» продолжались до апреля."
