date_start,date_end,event
2000-02-13,,Образование серьёзных торнадо и гроз на юго-западе штата джорджия (сша). минимум 22 погибших и 100 раненых.
2000-02-16,,"Крушение грузового самолёта «douglas dc-8-71f» компании «emery worldwide» вблизи ранчо-кордова (калифорния, сша). погибло 3 человека."
2000-02-16,2000-02-20,проведение зимних Игр Доброй воли в Лейк-Плэсиде.
2000-02-17,,Выход «microsoft windows 2000».
2000-02-18,,Назначение Владимира Ермошина премьер-министром Республики Беларусь.
2000-02-18,,В первом туре парламентских выборов в Иране большой перевес в парламенте получают сторонники президента Мохаммада Хатами.
2000-02-20,,Проведение первого тура парламентских выборов в кыргызстане.
2000-02-22,,Отмена смертной казни на Украине;
2000-02-22,,Открытие Центра культурных связей с Россией в Туркменском государственном университете имени Махтумкули.
2000-02-22,2000-02-29,"Вторая чеченская война: Сражение за Шатой: Взятие федеральными войсками Шатой. А. Масхадов, Хаттаб и Ш. Басаев снова ушли из окружения. Первый заместитель командующего объединённой группировкой федеральных сил генерал-полковник Геннадий Трошев объявил об окончании полномасштабной войсковой операции в Чечне."
2000-02-23,,Нападение на генконсульство рф в познани (польша).
2000-02-25,,Убийство виктории климби в лондоне. восьмилетняя ивуарийская девочка подверглась пыткам и была убита собственными опекунами. публичное расследование её смерти стало поводом для серьёзных изменений в политике по защите детей в великобритании.
2000-02-27,,Проведение первого тура парламентских выборов в таджикистане.
2000-02-29,2000-03-01,Вторая чеченская война: гибель 6-й роты 2-го батальона 104-го парашютно-десантного полка 76-й дивизии ВДВ в бою за высоту 776.
2000-02-01,2000-02-29,"возникновение сильных наводнений, вызванных проливными дождями, в Мозамбике. Погибло более 700 человек."
2000-03-01,,Вступление Хорхе Батлье Ибаньес на пост президента Уругвая;
2000-03-01,,Вступление в силу новой Конституции Финляндии.
2000-03-02,,Вторая чеченская война: большие потери сергиево-посадского омона (22 убито и более 30 ранено) в результате «дружественного огня».
2000-03-04,,"Sony выпустила игровую приставку 6-го поколения «playstation 2», ставшую наиболее быстро продаваемой и самой популярной игровой консолью в истории."
2000-03-05,,Британские учёные впервые в мире провели успешную операцию по клонированию свиней.
2000-03-05,2000-03-20,Вторая чеченская война: Село Комсомольское освобождено от боевиков федеральными войсками.
2000-03-08,,В результате столкновения двух поездов токийского метро на линии «хибия» близ станции «нака-мэгуро» погибли 5 и ранены 63 человека.
2000-03-09,,В результате авиационной катастрофы погибли журналист артём боровик и мультимиллионер зия бажаев.
2000-03-11,,"Состоялся учредительный съезд РОСДП, председателем партии стал экс-президент СССР Михаил Горбачёв;"
2000-03-11,,При взрыве в шахте «Баракова» в Краснодоне погиб 81 шахтёр. Самые тяжёлые последствия от аварии на Украине за 20 лет.
2000-03-12,,"Вторая чеченская война: в посёлке Новогрозненский сотрудниками ФСБ захвачен и доставлен в Москву террорист Салман Радуев, впоследствии осуждённый к пожизненному лишению свободы и скончавшийся в местах заключения;"
2000-03-12,,В Таджикистане состоялся второй тур парламентских выборов. Народно-демократическая партия Таджикистана Президента Эмомали Рахмона одержала победу;
2000-03-12,,"В Кыргызстане состоялся второй тур парламентских выборов. Наибольшее количество голосов получили партия коммунистов Кыргызстана, пропрезидентская Демократическая партия женщин Кыргызстана и Союз демократических сил, объединяющий Социал-демократическую партию Кыргызстана, партию экономического возрождения и партию Биримдык;"
2000-03-12,,"На парламентских выборах в Испании победу одержала правая Народная партия, получив 44,52 % голосов и 183 из 350 мест в Конгрессе депутатов, Хосе Мария Аснар остался на посту премьер-министра."
2000-03-15,,"В минске прошло массовое шествие — «марш свободы» в защиту независимости, прав человека и демократии беларуси, а также против углубления российско-белорусской интеграции."
2000-03-17,,В округе канунгу (уганда) члены религиозной секты «восстановление десяти господних заповедей» совершили акцию массового самосожжения: погибло около 600 человек.
2000-03-18,,"На президентских выборах на тайване победил чэнь шуйбянь (демократическая прогрессивная партия, 39,3 % голосов)."
2000-03-21,,"Убийство православного священника в эвенкии: 27-летний преступник руслан любецкий убил иеромонаха григория (яковлева) самодельным шилом, отрезал ему голову перочинным ножом и поместил её на церковный алтарь."
2000-03-24,,"В женеве (швейцария) на конференции оон по разоружению россия выступила с инициативой подписать международный договор, запрещающий испытание, размещение и использование в космосе любых систем вооружений."
2000-03-25,,Начало первого всероссийского фестиваля японской анимации в воронеже.
2000-03-26,,Выборы президента России. Абсолютное большинство голосов в первом туре набрал В. В. Путин
2000-03-26,,"В семи субъектах России прошли выборы глав регионов, в двух субъектах прошли референдумы. Губернатором Кировской области переизбран Владимир Сергеенков (58,3 %); губернатором Мурманской области переизбран Юрий Евдокимов (86,7 %); губернатором Саратовской области переизбран Дмитрий Аяцков (67,3 %); губернатором Еврейской автономной области переизбран Николай Волков (56,7 %); в Ханты-Мансийском автономном округе переизбран Александр Филипенко (90,8 %); в Ямало-Ненецком автономном округе переизбран Юрий Неелов (87,9 %). На референдуме в Карелии большинство проголосовало за введение поста главы Республики и превращении парламента в однопалатный; на референдум в Удмуртской Республике большинство проголосовало за введение поста президента"
2000-03-26,,В Женеве состоялась встреча президента США Билла Клинтона и президента Сирии Хафеза Асада. В ходе 4-часовых переговоров не удалось достичь соглашения о возобновлении израильско-сирийских переговоров.
2000-03-29,,Вторая чеченская война: гибель подразделения пермского омона у селения джани-ведено. погибло более 40 человек.
2000-03-31,,В эстонии прошла перепись населения.
2000-04-01,,В США прошла перепись населения;
2000-04-01,,Премьер-министр Японии Кэйдзо Обути перенёс инсульт и впал в кому.
2000-04-04,,Старт космического корабля «Союз ТМ-30». Экипаж — С. В. Залётин и А. Ю. Калери
2000-04-04,,Федеральный суд США признал корпорацию «Майкрософт» виновной в нарушении антимонопольного законодательства.
2000-04-05,,Премьер-министром японии избран ёсиро мори.
2000-04-07,,"Вооружённые силы сша нанесли ракетно-бомбовый удар по населённым пунктам ирака, в результате погибли 14 человек и 19 получили ранения."
2000-04-08,,"В боснии и герцеговине прошли муниципальные выборы. умеренные силы победили националистов только в мусульманских городах. в большинстве хорватских районов одержало победу националистическое хорватское демократическое сообщество, а в республике сербской — радикальная сербская демократическая партия."
2000-04-09,,"Эдуард Шеварднадзе переизбран президентом Республики Грузия, получив более 82 % голосов избирателей, принявших участие в выборах;"
2000-04-09,,"На президентских выборах в Перу Альберто Фухимори получил 49,9 % голосов и вышел во 2-й тур, ведущий кандидат оппозиции — лидер блока «Возможное Перу» Алехандро Толедо — 40,2 %. Правительственный блок «Перу-2000» получил 52 места в парламенте из 120. Оппозиция обвинила власти в подтасовке, А. Толедо призвал к демонстрациям и маршам протеста, которые были разогнаны силой;"
2000-04-09,,"На парламентских выборах в Греции победило правящее Всегреческое социалистическое движение (43,79 % голосов, 158 из 300 мест в парламенте), правительство в третий раз возглавил Костас Симитис."
2000-04-12,,"Российская космическая корпорация «энергия» продала американской компании «space hub» эксклюзивные права на использование архива кинодокументов, который содержал информацию обо всех космических исследованиях и программах, осуществлённых ссср, а затем россией."
2000-04-13,,"Россия и германия подписали договор о проведении обмена произведениями искусства, вывезенными обеими сторонами во время второй мировой войны."
2000-04-14,,"Государственная Дума РФ приняла решение о ратификации российско-американского договора СНВ-2, предполагавшего дальнейшее сокращение стратегических наступательных вооружений обеих стран"
2000-04-14,,На первой большой демонстрации оппозиции в 2000 году около 100 000 человек в Белграде протестуют против президента Слободана Милошевича и выступают за досрочные выборы.
2000-04-16,,"Состоялся всеукраинский референдум. Более 80 % избирателей, принявших участие в голосовании, высказались за создание двухпалатного парламента, сокращение числа депутатов с 450 до 300, ликвидацию депутатской неприкосновенности, право Президента досрочно прекращать полномочия Верховной рады, если последняя в течение одного месяца не сможет сформировать парламентское большинство или в течение трёх месяцев не сможет утвердить подготовленный и представленный в установленном порядке Кабинетом Министров проект государственного бюджета. Однако решения референдума так и не были воплощены в жизнь;"
2000-04-18,,Владимир путин высказался против создания в сша национальной системы про.
2000-04-19,,"На острове Самар при заходе на посадку в аэропорт Давао потерпел катастрофу «Boeing 737-2H4» компании Air Philippines, в результате погиб 131 человек. Крупнейшая авиакатастрофа на Филиппинах;"
2000-04-19,,В Центральной Румынии открыто крупнейшее в Европе месторождение золота.
2000-04-20,,Попадание ракеты в жилой дом в броварах. погибли 3 человека.
2000-04-21,,Госдума России ратифицировала договор о полном прекращении ядерных испытаний;
2000-04-21,,Президент РФ В. Путин утвердил Военную доктрину Российской Федерации
2000-04-21,,В США вступил в силу закон COPPA.
2000-04-23,,"Вторая чеченская война: нападение на колонну 51-го парашютно-десантного полка тульской дивизии вдв и воп 66-го полка оперативного назначения вв у селения сержень-юрт. потери российских военнослужащих: 16 убитых, 7 раненых, 7 единиц техники."
2000-04-24,,"Во время учений черноморского флота вмф рф учебная крылатая ракета попала в украинское пассажирское судно «верещагин» (1 человек ранен). позже пароходство украины полностью признало свою вину, так как не оповестило суда об этих учениях и их районе."
2000-04-26,,"Президент Украины Леонид Кучма заявил, что Чернобыльская АЭС будет закрыта до конца 2000 года;"
2000-04-26,,В Москве выставлены на обозрение останки Гитлера (фрагмент черепа с пулевым отверстием).
2000-04-28,,"Турция, азербайджан и грузия заключили договор о строительстве нефтепровода для транспортировки каспийской нефти в обход россии."
2000-04-29,,Германия передала россии фрагменты «янтарной комнаты».
2000-04-30,,Папа римский иоанн павел ii причислил блаженную сестру фаустину ковальскую к лику святых католической церкви.
2000-05-03,,Лондонская и франкфуртская фондовые биржи объявили о слиянии и создании крупнейшей в мире биржи с акциями на сумму около 4 триллионов долларов.
2000-05-05,,Президентом Турции избран Ахмет Сезер;
2000-05-05,,Ущерб от нового компьютерного вируса «I love you» составил только в Северной Америке миллиард долларов.
2000-05-06,,Россия принята в международную торговую палату.
2000-05-07,,Инаугурация президента россии владимира владимировича путина.
2000-05-11,,"Сотрудники Генпрокуратуры, ФСБ и ФСНП России произвели обыски в центральных офисах холдинга Владимира Гусинского «Медиа-Мост» в связи с уголовным делом, возбуждённым в отношении холдинга 26 апреля по статьям 137 (нарушение неприкосновенности частной жизни), 138 (нарушение тайны переписки) и 181 (незаконное получение и разглашение сведений, составляющих коммерческую или банковскую тайну) Уголовного кодекса РФ"
2000-05-11,,Георгий Арсенишвили стал государственным министром Грузии.
2000-05-12,,Андраник маргарян стал премьер-министром армении.
2000-05-13,,"Президент России Владимир Путин подписал указ № 849 «О полномочном представителе Президента Российской Федерации в федеральном округе», согласно которому в России были созданы федеральные округа;"
2000-05-13,,В Стокгольме (Швеция) состоялся 45-й Конкурс Песни Евровидение 2000.
2000-05-13,,"В городе Энсхеде, Нидерланды, произошёл взрыв на складе фейерверков, в результате чего погибло 23 человека."
2000-05-14,,На выборах губернатора Санкт-Петербурга Владимир Яковлев переизбран на второй срок
2000-05-14,,"В Эфиопии состоялся первый тур всеобщих выборов, вторых по счёту многопартийных выборов в истории страны."
2000-05-15,,9 человек ранено в Ираке в результате бомбардировок американской и британской авиацией
2000-05-15,,Прекратила свою деятельность Миссия наблюдателей ООН в Таджикистане.
2000-05-16,,В США испытано новое лекарство от алкоголизма;
2000-05-16,,Ахмет Сезер стал президентом Турции;
2000-05-16,,Иполито Мехия избран президентом Доминиканской Республики.
2000-05-17,,Премьер-министром россии утверждён михаил касьянов.
2000-05-18,,1 человек погиб и 4 получили ранения в результате бомбардировки авиацией сша и великобритании территории ирака.
2000-05-19,,"98-й старт («sts-101») по программе спейс шаттл. 21-й полёт шаттла атлантис. экипаж — джеймс халселл, скотт хоровитц, сьюзан хелмс, юрий усачёв (россия), джеймс восс, мэри уэбер, джеффри уильямс."
2000-05-20,,"Указом президента россии утверждены направления налоговой реформы, предусматривавшие снижение общего налогового бремени, создание справедливой и нейтральной по отношению к экономическим решениям налоговой системы, её упрощение, улучшение налогового администрирования и повышение уровня собираемости налогов."
2000-05-21,,В швейцарии на референдуме большинство жителей проголосовали за расширение отношений с европейским союзом.
2000-05-24,,"Государственная дума РФ приняла поправку, запрещающую пропаганду наркотиков и способов их приготовления"
2000-05-24,,"Завершение вывода израильских войск из Ливана. Израиль выполнил, таким образом, резолюцию № 425 Совета Безопасности ООН от 1978 г., требовавшую вывода израильских сил из Ливана."
2000-05-25,,Завершение вооружённого конфликта между Эфиопией и Эритреей за контроль над спорными пограничными территориями;
2000-05-25,,"На всеобщих выборах в Суринаме победили действующий президент Рональд Венетиан (47,5 % голосов) и левоцентристский блок партий «Новый фронт за демократию и развитие» (33 места из 51 в парламенте)."
2000-05-26,,"Парламент кыргызстана проголосовал за переименование страны. отныне официальное наименование государства — «кыргызская республика». за это решение высказалось 42 депутата, против — 2."
2000-05-27,,Министерство связи Туркменистана отозвало лицензии у всех частных провайдеров интернета в республике;
2000-05-27,,"В Китае католический священник получил шесть лет тюрьмы за издание Библии и других религиозных книг. Обвинили его в незаконных публикациях и тайном проповедовании католицизма. В китайской конституции упомянут принцип свободы вероисповедания, но посещать можно лишь одобренные государством церкви."
2000-05-28,,"Альберто фухимори переизбран президентом перу. оппозиция не признала выборы и ответила новыми маршами протеста, в которых участвовали сотни тысяч людей. полиция жестоко подавляла выступления. в ходе столкновений сотни людей были ранены и арестованы."
2000-05-30,,Президент кыргызстана а. акаев подписал закон о придании русскому языку официального статуса.
2000-05-31,,"В 7:05 утра в волгограде на проспекте жукова при прохождении отряда военнослужащих произошёл взрыв. взрывчатка была закреплена на дереве на высоте 1,3 м. в качестве начинки использовались два килограмма тротила и куски толстой проволоки. бомба сработала по сигналу с пульта дистанционного управления. один человек погиб, 15 ранены."
