date_start,date_end,event
2011-02-27,,В лос-анджелесе (сша) состоялась 83-я церемония вручения премий оскар. лучшим фильмом года американская киноакадемия признала картину «король говорит!».
2011-02-28,,"В японии завершился первый в мире марафонский забег, участие в котором принимали роботы."
2011-03-01,,В России вступил в силу закон «О полиции».
2011-03-01,,В России начали действовать водительские права международного образца.
2011-03-01,,"Упрощён визовый режим между Грузией и ЕС (кроме Дании, Великобритании и Ирландии)."
2011-03-04,,"Президентом торгово-промышленной палаты россии избран сергей катырин после того, как 21 февраля её предыдущий президент евгений примаков объявил о своей отставке и об отказе от переизбрания на новый срок."
2011-03-06,,"В Эстонии прошли парламентские выборы. Победу одержала Партия реформ, которую возглавляет премьер-министр Эстонии Андрус Ансип."
2011-03-06,,В Техасе (США) прошли крупные митинги за независимость штата.
2011-03-07,,Президент России Дмитрий Медведев подписал закон о либерализации уголовного законодательства.
2011-03-07,,В столице Анголы Луанде разогнана антиправительственная демонстрация во главе с рэпером Иконокластой.
2011-03-09,,"Официально введён в эксплуатацию суперкомпьютер, построенный в РФЯЦ-ВНИИЭФ — самый мощный, на сегодняшний день, суперкомпьютер в России."
2011-03-09,,"Шатл «Дискавери» завершил свою 27-летнюю карьеру, совершив успешное приземление в космическом центре имени Кеннеди во Флориде."
2011-03-11,,"Землетрясение магнитудой от 9,0 до 9,1 произошло у северо-восточного побережья японии. землетрясение вызвало разрушительное цунами в японии. высота волны достигала 10 м. произошли сбои в работе нескольких ядерных реакторов. 15 597 погибших, 5694 раненых, 4980 пропавших без вести (на 20 июля). экономический ущерб, по приблизительной оценке, составил до 309 млрд usd."
2011-03-12,,"На японской аэс «фукусима-1», пострадавшей в результате землетрясения, произошёл взрыв. уровень радиации возле станции превысил норму в 20 раз."
2011-03-13,,Единый день голосования (Россия).
2011-03-13,,Колумбия отменила визовый режим для граждан России.
2011-03-14,,В бахрейн прибыли больше тысячи военнослужащих из саудовской аравии и полицейские силы из оаэ.
2011-03-15,,На АЭС Фукусима I произошли взрывы во втором и четвёртом энергоблоках. На четвёртом энергоблоке пожар.
2011-03-15,,Начало гражданской войны в Сирии.
2011-03-16,,"Приземление космического корабля союз тма-01м. экипаж посадки — александр калери, олег скрипочка и скотт келли (сша)."
2011-03-18,,Автоматическая межпланетная станция MESSENGER вышла на орбиту Меркурия.
2011-03-18,,Автоматическая межпланетная станция New Horizons пересекла орбиту Урана после пятилетнего путешествия.
2011-03-19,,В Египте прошёл референдум по внесению изменений в Конституцию. Большинство египтян поддержало поправки к конституции.
2011-03-19,,"Военно-воздушные силы Франции, Великобритании и США начали бомбардировки районов Ливии, находящихся под контролем сторонников Каддафи."
2011-03-20,,В гаити прошёл второй тур президентских выборов. новым президентом гаити стал мишель мартейи.
2011-03-22,,"Реактивный истребитель ввс нигерии f-7 потерпел крушение в международном аэропорту малам амину кано в кано. пилот погиб, аэропорт для совершения полётов был закрыт."
2011-03-23,,"Теракт в иерусалиме, погиб 1 человек и 35 ранены."
2011-03-24,,"Землетрясение в мьянме магнитудой 7. погибло около 60 человек, ранены не менее 90."
2011-03-24,2011-03-25,саммит ЕС.
2011-03-27,,Россия и беларусь перешли на постоянное летнее время.
2011-03-28,,Бывший президент египта хосни мубарак заключён под домашний арест.
2011-04-01,,На границе россии и беларуси отменён транспортный контроль. его перенесли на внешний контур границ таможенного союза.
2011-04-03,,На внеочередных выборах президента Казахстана Нурсултан Назарбаев переизбран на четвёртый срок.
2011-04-03,,В России вступили в силу новые правила регистрации автомобилей.
2011-04-04,,В столице ДРК городе Киншасе произошла авиакатастрофа самолёта «CRJ-100». Погибли 32 человека.
2011-04-04,,Землетрясение в Индонезии магнитудой около 7.
2011-04-05,,"С космодрома байконур запущен космический корабль союз тма-21 «юрий гагарин». экипаж старта — андрей борисенко, александр самокутяев и рональд гаран (сша)."
2011-04-07,,Атифете яхьяга избрана президентом республики косово (первая женщина-президент в истории косово).
2011-04-11,,"Экс-президент Кот-д’Ивуара Лоран Гбагбо, отказавшийся признать поражение на выборах, захвачен французским спецназом и передан представителям избранного кандидата Алассана Уаттара."
2011-04-11,,"В Минске произошёл взрыв в метро на станции «Октябрьская», погибли 15 человек, пострадали 204 человека."
2011-04-12,,Международное празднование 50-й годовщины полёта человека в космос.
2011-04-15,,"В москве прошла конференция, на которой между представителями роскосмоса и наса обсуждена возможность создания космического корабля с ядерной энергетической установкой."
2011-04-16,,Вступил в силу безвизовый режим между россией и турцией.
2011-04-17,,Парламентские выборы в Финляндии. Победу одержала партия Национальная коалиция.
2011-04-17,,VI-й съезд Коммунистической партии Кубы принял решение о серьёзных политических и экономических реформах в стране.
2011-04-17,,на телеканале HBO состоялась премьера сериала «Игра престолов».
2011-04-19,,"В Сирии принят закон об отмене чрезвычайного положения, действовавшего в стране почти полвека, и упразднён государственный суд безопасности."
2011-04-19,,"На VI съезде Компартии Кубы Фидель Кастро оставил пост Первого секретаря ЦК партии, новым Первым секретарём избран Рауль Кастро."
2011-04-25,2011-05-01,"чемпионат мира по фигурному катанию (Москва, Россия)."
2011-04-29,2011-05-15,"чемпионат мира по хоккею с шайбой (Братислава, Кошице; Словакия). Чемпионом стала сборная Финляндии."
2011-05-02,,В результате спецоперации в Пакистане уничтожен глава террористической сети Аль-Каида Усама бен Ладен.
2011-05-02,,Парламентские выборы в Канаде. Правящая Консервативная партия получила абсолютное большинство мест в парламенте.
2011-05-03,2011-05-04,"IV Астанинский экономический форум (Астана, Казахстан)."
2011-05-07,,"Городам Старый Оскол, Колпино и Анапа присвоено почётное звание Город воинской славы."
2011-05-07,,Нападение радикальных исламистов на церковь Мари-Мина в Египте. Погибли 12 человек и 232 ранены.
2011-05-10,2011-05-14,"конкурс песни «Евровидение 2011» (Дюссельдорф, Германия). Победителем стал дуэт Ell & Nikki из Азербайджана."
2011-05-15,,"Завершился 75-й чемпионат мира по хоккею с шайбой, победу одержала сборная финляндии."
2011-05-16,,"134-й старт (sts-134) по программе спейс шаттл. 25-й полёт шаттла индевор. экипаж — марк келли, грегори джонсон, эндрю фьюстел, майкл финк, грегори шамитофф, роберто виттори (италия). продолжение строительства международной космической станции. последний полёт шаттла индевор."
2011-05-17,,"Теракт в дкнб в актобе, казахстан. погиб 1 человек, пострадало 2 полицейских."
2011-05-20,2011-05-21,"ежегодное заседание ЕБРР (Астана, Казахстан)."
2011-05-24,,Дмитрий медведев подписал указ о создании агентства по защите интеллектуальной собственности.
2011-05-24,,"Приземление космического корабля союз тма-20. экипаж посадки — дмитрий кондратьев, катерина коулман (сша) и паоло несполи (италия)."
2011-05-28,,Президент латвии валдис затлерс инициировал роспуск парламента.
2011-05-31,,В москве открыт памятник поэту иосифу бродскому.
2011-06-01,,Открылась 54-я венецианская биеннале (по 27 ноября).
