date_start,date_end,event
2019-01-01,,Вступило в силу решение США о выходе из ЮНЕСКО;
2019-01-01,,Вступило в силу решение Конституционного суда Австрии об отмене законодательных ограничений на регистрацию однополых браков;
2019-01-01,,Межпланетный зонд NASA New Horizons успешно пролетел мимо объекта пояса Койпера Аррокот (Ультима Туле);
2019-01-01,,Катар приостановил членство в Организации стран — экспортёров нефти.
2019-01-03,,Впервые в истории человечества китайская беспилотная станция «чанъэ-4» совершила мягкую посадку на обратной стороне луны.
2019-01-04,2019-01-06,"Раскол Православной церкви: Константинопольский патриарх Варфоломей подписал томос об автокефалии Православной церкви Украины, узаконив тем самым Предоставление автокефалии православной церкви на Украине; данное решение не признали и осудили Русская православная церковь и ряд других поместных православных церквей, в частности, Сербская православная церковь."
2019-01-05,2019-02-01,в ОАЭ прошёл 17-й Кубок Азии по футболу. Победила сборная Катара.
2019-01-06,,Король малайзии мухаммад v отрёкся от престола. исполняющим обязанности верховного правителя страны стал султан штата перак назрин муизуддин шах.
2019-01-14,,При посадке в пригороде тегерана военный грузовой самолёт boeing 707 выкатился за пределы взлётно-посадочной полосы и врезался в стену. при крушении погибли 15 из 16 членов экипажа.
2019-01-18,,В результате взрыва и пожара на трубопроводе в мексиканском штате идальго погибло 114 человек.
2019-01-19,,"В башкирском городе сибай началась бесплатная раздача защитных масок и активированного угля для борьбы с окутавшим город смогом и загрязнением воздуха, вследствие которого в воздухе ощущается запах серы. причиной тяжёлой экологической ситуации в городе в целом и держащегося с ноября 2017 года смога в частности предположительно является тление руды в карьере по добычи меди, работы на котором были остановлены в 2003 году."
2019-01-20,,В результате нападения исламистов в мали погибли 8 миротворцев оон.
2019-01-21,2019-01-27,чемпионат Европы по фигурному катанию в Минске.
2019-01-23,,"Кризис в венесуэле: хуан гуайдо провозгласил себя исполняющим обязанности президента венесуэлы; это решение поддержали сша, ряд стран латинской америки (группа лимы) и европы, действующую законную власть в лице президента венесуэлы николаса мадуро, напротив, поддержали россия, боливия, мексика, сирия, турция и иран."
2019-01-24,,"В должность президента Демократической Республики Конго вступил Феликс Чисекеди. Таким образом, в ДРК впервые за 18 лет сменилась власть;"
2019-01-24,,Оболонский районный суд Киева заочно приговорил к 13 годам лишения свободы бывшего президента Украины Виктора Януковича по статьям о государственной измене и пособничестве в изменении границы страны и ведении войны.
2019-01-25,,В москве открылась первая выставка современного православного искусства.
2019-01-27,,В результате организованного исламистами террористического акта в христианском соборе богоматери кармельской в филиппинском городе холо погибли 18 человек.
2019-01-30,,В санкт-петербурге установлены православные терминалы для сбора пожертвований на лечение тяжелобольных детей.
2019-01-31,,Новым королём малайзии стал султан штата паханг абдулла ii.
2019-02-01,,Президент всемирного банка джим ён ким ушёл в отставку. пост президента всемирного банка заняла кристалина георгиева.
2019-02-02,,Сша приостановили действие договора о ликвидации ракет средней и меньшей дальности (дрсмд). россия ответила симметрично.
2019-02-03,,"В результате выборов президентом сальвадора 53 % голосов избирателей избран найиб букеле. явка избирателей составила 51,9 %."
2019-02-10,,"В башкирском городе сибай, где с ноября 2017 года держится смог, зафиксировано превышение предельно допустимой концентрации диоксида серы в 23 раза."
2019-02-12,,"В силу вступило соглашение между Грецией и Македонией об официальном переименовании последней в Республику Северная Македония, что положило конец спору, длившемуся с 1991 года, и открыло возможность Северной Македонии вступить в НАТО и Европейский союз;"
2019-02-12,,ГД РФ приняла в первом чтении внесённый сенатором Андреем Клишасом законопроект об изоляции российского сегмента сети Интернет.
2019-02-14,,"В результате атаки исламистов на кортеж с индийскими полицейскими в индийском штате джамму и кашмир (спорная территория кашмир); 41 человек (40 полицейских и 1 нападавший террорист-смертник) погиб. впоследствии, этот теракт спровоцировал эскалацию индо-пакистанского противостояния в кашмире."
2019-02-22,,"Президент судана омар аль-башир ввёл чрезвычайное положение в стране и распустил правительство, после продолжающихся третий месяц протестов."
2019-02-24,,"В результате парламентских выборов в Молдавии после подсчёта 100 % бюллетеней социалисты набирают 31,15 %, блок ACUM набрал 26,84 %, правящая сейчас Демпартия — 23,268 % голосов, Партия «ШОР» — 8,32 %. Остальные партии не сумели преодолеть избирательный порог в 6 %;"
2019-02-24,,"В ходе референдума 90,6 % жителей Кубы проголосовали за утверждение новой конституции. Явка составила 84,4 % от списка избирателей;"
2019-02-26,,Папа Римский Франциск временно отстранил признанного виновным в насилии над детьми австралийского кардинала Джорджа Пелла от служения и от выполнения всех своих обязанностей;
2019-02-26,,"Состоялось заседание Священного Синода Русской православной церкви, на котором были произведены ряд должностных перестановок."
2019-03-01,,До 800 тысяч человек приняли участие в протестах по всей стране против выдвижения президента алжира абдель бутефлика на пятый срок.
2019-03-02,,Запуск нового федерального общероссийского спортивного телеканала «матч! страна».
2019-03-07,,Депутаты государственной думы российской федерации одобрили в третьем чтении законопроекты о блокировке фейковых новостей и наказании за проявление неуважения к власти в интернете.
2019-03-08,,"Более 1 млн человек вышли на улицы городов алжира, орана, константина, требуя от действующего 82-летнего президента абдель азиза бутефлики не выдвигать свою кандидатуру на пятый срок."
2019-03-10,,"Boeing 737 max авиакомпании ethiopian airlines, на борту которого находились 157 человек, включая восьмерых членов экипажа, потерпел крушение недалеко от эфиопского города дэбрэ-зэйт; в катастрофе никто не выжил. эта вторая катастрофа самолётов данного типа за полгода (после крушения такого же самолёта возле джакарты 29 октября 2018 года). катастрофа привела к массовому отказу авиакомпаний по всему миру от эксплуатации самолётов данного типа. цена акции корпорации boeing падала в первый торговый день после катастрофы в пределах 10 %."
2019-03-15,,"В новой зеландии в результате стрельбы в мечетях города крайстчерч погиб 51 человек, 40 ранены."
2019-03-17,,На трассе «альберт парк» в мельбурне состоялся первый этап «формулы-1» 2019 сезона гран-при австралии.
2019-03-18,,"В утрехте совершён террористический акт. 37-летний турок расстрелял 10 пассажиров трамвая, из которых 4 погибли."
2019-03-19,,"Президент казахстана нурсултан назарбаев объявил об уходе в отставку. на должность президента был назначен касым-жомарт токаев. таким образом, в казахстане впервые после обретения независимости сменился президент."
2019-03-23,,"«Сирийские демократические силы» объявили об освобождении от террористов из «Исламского государства» сирийского Багуза — города, который считался последним оплотом ИГ на территории Сирии;"
2019-03-23,,Президент Казахстана Касым-Жомарт Токаев подписал указ о переименовании Астаны в Нур-Султан.
2019-03-24,,В столице индонезии джакарте открылась первая линия метрополитена.
2019-03-25,,Президент сша дональд трамп подписал декларацию о признании сша суверенитета израиля над голанскими высотами.
2019-03-26,,В ингушетии возобновились протесты. митинг в магасе объявлен бессрочным.
2019-03-30,,"Второй тур президентских выборов в словакии, победу одержала зузана чапутова, которая стала первой в истории словакии женщиной на посту президента."
2019-03-31,,На Международном автодроме Бахрейна состоялся второй этап «Формулы-1» 2019 сезона Гран-при Бахрейна;
2019-03-31,,"В Турции прошли муниципальные выборы, по итогам которых на посты глав крупнейших городов страны — Анкары, Измира и Стамбула, были избраны представители оппозиционной республиканской народной партии."
2019-03-31,,Пьюдипай выпустил песню «Congratulations».
2019-04-03,,"Начался судебный процесс над бывшим премьер-министром Малайзии Наджибом Разаком, обвиняемым в краже 700 миллионов долларов из инвестиционного фонда 1MDB;"
2019-04-03,,"В Брунее принят новый уголовный кодекс, нормы которого основаны на законах шариата. В частности, новым кодексом предусмотрены такие наказания, как отрубание рук за кражи (для лиц, достигших 15 лет), забивание камнями за прелюбодеяние, гомосексуализм и анальный секс, а также битьё плетью и тюремное заключение за внебрачный секс."
2019-04-07,,В Архангельске прошла несанкционированная властями акция протеста (марш и митинг) против строительства на станции «Шиес» полигона для мусора из Москвы;
2019-04-07,,"В столице Судана Хартуме прошли организованные местными профсоюзами многотысячные акции протеста с призывом отставки президента Омара аль-Башира, правящего страной более 20 лет. Одной из мер борьбы с протестующими, помимо попыток их разгона, стало отключение интернета. Поводом для непрекращающихся с декабря 2018 года протестов послужило повышение цен на топливо и продукты питания."
2019-04-08,2019-04-14,"чемпионат Европы по борьбе (Бухарест, Румыния)."
2019-04-10,,Астрофизики получили первые в истории фотографии чёрной дыры.
2019-04-11,,"В Судане произошёл военный переворот, в ходе которого президент Судана Омар аль-Башир, который правил страной 30 лет, отстранён от власти и был помещён под домашний арест после многомесячных протестов;"
2019-04-11,,Депутаты ГД РФ приняли во втором чтении законопроект о «суверенном интернете».
2019-04-12,,Великобритания и еврокомиссия согласовали отсрочку выхода великобритании из ес (brexit) до 31 октября.
2019-04-15,,Крупный пожар в соборе парижской богоматери.
2019-04-17,,"Бывший президент перу алан гарсия покончил с собой, когда полицейские прибыли в его дом в лиме, столице страны, чтобы задержать в рамках расследования дела о коррупции."
2019-04-21,,"Второй тур президентских выборов на Украине; по итогам выборов победу одержал Владимир Зеленский, а действующий президент Пётр Порошенко признал поражение;"
2019-04-21,,"На католическую Пасху в Шри-Ланке исламские террористы совершили террористическую атаку: в разных частях страны, включая столицу Шри-Ланки город Коломбо, прогремели 8 взрывов; жертвами стали 269 человек, более 500 человек были ранены."
2019-04-23,,"Министерство внутренних дел саудовской аравии заявило, что в стране казнены 37 человек, подозревавшихся в терроризме — это самая массовая казнь в саудовской аравии за последние три года. все казнённые, как сообщается, были шиитами, а признания, данные ими, были получены под пытками."
2019-04-26,2019-04-28,Кубок мира по художественной гимнастике.
2019-04-28,,"Парламентские выборы в Испании, победу одержала правящая ИСРП;"
2019-04-28,,В Баку состоялся четвёртый этап «Формулы-1» 2019 сезона Гран-при Азербайджана.
2019-05-01,,Состоялась церемония восшествия на престол императора Японии Нарухито.
2019-05-01,,Президент России Владимир Путин подписал закон о «суверенном интернете».
2019-05-05,,Катастрофа SSJ 100 в аэропорту Шереметьево в Москве; погиб 41 человек;
2019-05-05,,Президентские выборы в Северной Македонии. Победу одержал Стево Пендаровский.
2019-05-08,,"Парламентские выборы в юар. большинство голосов (57,5 %) получила правящая партия «африканский национальный конгресс»."
2019-05-10,2019-05-26,Чемпионат мира по хоккею с шайбой 2019 в Братиславе и Кошице. Победила сборная Финляндии.
2019-05-14,2019-05-18,"конкурс песни Евровидение-2019 (Тель-Авив, Израиль). Победил певец из Нидерландов Дункан Лоуренс."
2019-05-16,2019-05-19,"Чемпионат Европы по художественной гимнастике 2019 в Баку, Азербайджан."
2019-05-20,,Владимир зеленский вступил в должность президента украины.
2019-05-21,,Появилась windows server 2019.
2019-05-23,2019-05-26,выборы в Европарламент.
2019-05-26,,Второй тур президентских выборов в литве. победу одержал гитанас науседа.
2019-05-29,,Президентские выборы в Латвии. Победу одержал Эгил Левит;
2019-05-29,,Финал Лиги Европы УЕФА 2019 состоялся на Бакинском олимпийском стадионе.
2019-06-01,,Финал лиги чемпионов уефа 2019 состоялся на мадридском стадионе «ванда метрополитано».
2019-06-07,2019-06-09,WWDC в Калифорнии.
2019-06-09,,Внеочередные президентские выборы в казахстане. победу одержал действующий президент касым-жомарт токаев.
2019-06-12,,В должность президента казахстана вступил касым-жомарт токаев.
2019-06-23,,В ходе повторных выборов мэра стамбула победил кандидат от оппозиционной народно-республиканской партии экрем имамоглу.
