date_start,date_end,event
2000-03-12,,Вторая чеченская война: в чечне захвачен террорист салман радуев
2000-03-12,,Прошли вторые туры парламентских выборов в таджикистане (победила пропрезидентская партия) и кыргызстане
2000-03-12,,На выборах в испании победила правящая народная партия (хосе мария аснар остался премьер-министром).
2000-03-15,,В минске состоялся многотысячный «марш свободы» за независимость и права человека и против усиления интеграции с россией.
2000-03-17,,В округе канунгу (уганда) члены секты «восстановление десяти заповедей» совершили массовое самосожжение (погибло около 600 человек).
2000-03-18,,На президентских выборах на тайване победил оппозиционный кандидат чэнь шуйбянь.
2000-03-21,,В эвенкии жестоко убит православный священник о. григорий (преступник обезглавил жертву и оставил голову на алтаре).
2000-03-24,,На конференции оон по разоружению (женева) россия предложила заключить международный договор о запрете испытаний и развёртывания оружия в космосе.
2000-03-25,,В воронеже открылся первый всероссийский фестиваль японской анимации.
2000-03-26,,Выборы президента россии: в первом туре победил владимир путин
2000-03-26,,Одновременно прошли выборы глав регионов в 7 субъектах рф и два региональных референдума
2000-03-26,,"В женеве состоялась встреча президента сша билла клинтона с президентом сирии хафезом асадом, которая не привела к возобновлению сирийско-израильских переговоров."
2000-03-29,,"Вторая чеченская война: у села джани-ведено в засаду попал отряд пермского омона, погибли более 40 военнослужащих."
2000-03-31,,В эстонии проведена всеобщая перепись населения.
2000-04-01,,В сша проведена перепись населения
2000-04-01,,Премьер-министр японии кэйдзо обути перенёс инсульт и впал в кому.
2000-04-04,,"Осуществлён запуск космического корабля «союз тм-30» (экипаж — с. залётин, а. калери)"
2000-04-04,,Федеральный суд сша признал корпорацию microsoft виновной в нарушении антимонопольного законодательства.
2000-04-05,,Ёсиро мори избран новым премьер-министром японии.
2000-04-07,,"Вооружённые силы сша нанесли ракетно-бомбовый удар по объектам в ираке: погибли 14 человек, 19 ранены."
2000-04-08,,На муниципальных выборах в боснии и герцеговине умеренные партии победили националистов лишь в некоторых городах (в большинстве общин лидировали националистические партии).
2000-04-09,,Эдуард шеварднадзе переизбран президентом грузии (≈82% голосов)
2000-04-09,,"В перу альберто фухимори набрал 49,9% и вышел во второй тур (оппозиция обвинила власти в фальсификации, протесты разогнаны силой)"
2000-04-09,,На парламентских выборах в греции победило правящее движение пасок (премьер костас симитис сохранил пост).
2000-04-12,,Российская ракетно-космическая корпорация «энергия» продала компании space hub права на архив кинодокументов по всем космическим программам ссср/рф.
2000-04-13,,"Россия и германия подписали соглашение об обмене произведениями искусства, вывезенными обеими сторонами во время второй мировой войны."
2000-04-14,,Государственная дума рф ратифицировала договор снв-2 о сокращении стратегических наступательных вооружений
2000-04-14,,Около 100 тыс. человек вышли в белграде на первую крупную акцию протеста против режима слободана милошевича.
2000-04-16,,"На всеукраинском референдуме более 80% проголосовавших высказались за создание двухпалатного парламента, сокращение числа депутатов, отмену их неприкосновенности и расширение полномочий президента (решения так и не реализованы)."
2000-04-18,,Владимир путин заявил о решительном несогласии с планами создания в сша национальной системы про.
2000-04-19,,"При заходе на посадку на острове самар (филиппины) разбился boeing 737 компании air philippines, 131 человек погиб (крупнейшая авиакатастрофа в истории филиппин)"
2000-04-19,,В центральной румынии открыто крупнейшее в европе месторождение золота.
2000-04-20,,"Учебная ракета попала в жилой дом в городе бровары (украина), погибли 3 человека."
2000-04-21,,Государственная дума рф ратифицировала договор о всеобъемлющем запрещении ядерных испытаний
2000-04-21,,Президент россии в. путин утвердил новую военную доктрину рф
2000-04-21,,В сша вступил в силу закон coppa о защите детей в интернете.
2000-04-23,,"Вторая чеченская война: нападение боевиков на колонну российской десантной бригады у села сержень-юрт (убито 16 военнослужащих, 7 ранены)."
2000-04-24,,Во время учений черноморского флота учебная крылатая ракета попала в украинское пассажирское судно «верещагин» (1 человек ранен). позже украинская сторона признала вину за неуведомление судоходства).
2000-04-26,,Президент украины леонид кучма заявил о закрытии чернобыльской аэс до конца 2000 года
2000-04-26,,В москве впервые выставлен на обозрение фрагмент черепа адольфа гитлера.
2000-04-28,,"Турция, азербайджан и грузия заключили соглашение о строительстве нефтепровода для транспортировки каспийской нефти в обход россии."
2000-04-29,,Германия передала россии фрагменты легендарной янтарной комнаты.
2000-04-30,,Папа римский иоанн павел ii канонизировал польскую монахиню сестру фаустину ковальску.
2000-05-03,,"Лондонская и франкфуртская фондовые биржи объявили о слиянии, в результате которого создаётся крупнейшая в мире биржа (капитализация ~4 трлн $)."
2000-05-05,,Ахмет сезер избран президентом турции
2000-05-05,,Ущерб от компьютерного вируса «i love you» превысил 1 млрд долларов (только в северной америке).
2000-05-06,,Россия принята в международную торговую палату.
2000-05-07,,Состоялась инаугурация избранного президента россии владимира путина.
2000-05-11,,"Сотрудники генпрокуратуры, фсб и фснп рф провели обыски в московских офисах холдинга владимира гусинского «медиа-мост» (уголовное дело в отношении холдинга возбуждено 26 апреля)"
2000-05-11,,Георгий арсенишвили стал государственным министром грузии.
2000-05-12,,Андраник маргарян назначен премьер-министром армении.
2000-05-13,,Президент россии в. путин подписал указ № 849 о создании в рф семи федеральных округов
2000-05-13,,В стокгольме состоялся конкурс «евровидение-2000»
