date_start,date_end,event
2001-01-01,,"Греция стала 12-й страной, вошедшей в зону евро."
2001-01-07,,"Во втором туре парламентских выборов в азербайджане победила партия «новый азербайджан», получившая 75 из 125 мест."
2001-01-07,,В гане впервые с 1979 года произошла мирная передача власти: джон куфуор вступил в должность президента.
2001-01-07,,В сенегале прошёл конституционный референдум.
2001-01-09,,"В пакистане близ города котри сошёл с рельсов пассажирский поезд, погибли более 15 человек, около 200 ранены."
2001-01-09,,Компания apple запустила программное обеспечение itunes - медиа-плеер и медиатеку.
2001-01-10,,Первый запуск википедии как части проекта «нупедия». через 5 дней википедия стала самостоятельным сайтом.
2001-01-13,,Землетрясение в сальвадоре.
2001-01-14,,"1 марта - второй этап акции протеста «украина без кучмы» в киеве: на крещатике и майдане независимости разбит палаточный городок, который был ликвидирован силами правопорядка 1 марта."
2001-01-15,,Начал работу первый раздел «википедии» - свободной интернет-энциклопедии.
2001-01-16,,Убийство лорана-дезире кабилы: президент демократической республики конго застрелен в своём кабинете. о его смерти объявлено спустя 2 дня; власть перешла к его сыну жозефу кабиле.
2001-01-15,2001-01-31,В уганде диагностирована последняя зарегистрированная вспышка лихорадки эбола 2000-2001 годов.
2001-01-17,,Выжившие жертвы холокоста добились от правительства австрии компенсаций за конфискованное нацистами имущество.
2001-01-17,2001-01-20,Вторая народная революция на филиппинах: народное восстание привело к отстранению президента джозефа эстрады; вице-президент глория макапагал-арройо заняла пост главы государства.
2001-01-19,,В бельгии легализовано употребление и хранение марихуаны.
2001-01-19,,Вице-премьер украины юлия тимошенко отправлена в отставку в связи с началом против неё уголовного преследования.
2001-01-19,,Отключены серверы первого в мире интернет-мессенджера powwow.
2001-01-20,,"Истечение полномочий президента сша билла клинтона; инаугурация джорджа буша-младшего. сопровождалось акциями протеста из-за того, что буш занял пост при меньшинстве голосов избирателей."
2001-01-22,,12 ноября - война в македонии (между правительственными силами и албанскими повстанцами) началась 22 января и продолжалась до ноября.
2001-01-23,,Групповое самосожжение на площади тяньаньмэнь в пекине.
2001-01-23,,"Попытка угона авиарейса 448 (самолёт был захвачен, но впоследствии спасён)."
2001-01-23,,Международный трибунал по бывшей югославии повторно выдал ордеры на арест слободана милошевича и ещё четырёх высокопоставленных сербских деятелей.
2001-01-25,,Армения и азербайджан стали полноправными членами совета европы.
2001-01-26,,"Землетрясение магнитудой 7,6 в индийском штате гуджарат: по разным оценкам погибло от 14 до 20 тысяч человек, разрушено около 400 тысяч зданий."
2001-01-31,,Над японией едва не столкнулись два пассажирских авиалайнера japan airlines.
2001-02-05,,В москве на станции метро «белорусская-кольцевая» произошёл взрыв (терракт) в 18:50.
2001-02-06,,Партия «ликуд» во главе с ариэлем шароном выиграла парламентские выборы в израиле.
2001-02-06,,Папа римский иоанн павел ii провозгласил святого исидора севильского покровителем интернета.
2001-02-07,,"Стартовал 102-й космический шаттл (миссия sts-98, шаттл «атлантис») - доставка модуля «destiny» для мкс."
2001-02-08,,Узбекистан и мьянма установили дипломатические отношения.
2001-02-09,,Премьер-министром таиланда стал таксин чиннават.
2001-02-09,2001-02-11,Парламентские выборы в лихтенштейне; прогрессивная гражданская партия получила 13 из 25 мест в ландтаге.
2001-02-13,,"Столкновение пригородного поезда с автопоездом на переезде в ленинградской области (1 погибший, 10 ранено)."
2001-02-14,,Первый в истории контролируемый спуск космического аппарата на астероид: аппарат near shoemaker совершил посадку на астероид эрос.
2001-02-14,2001-02-15,"В бахрейне по итогам референдума 98,4% избирателей одобрили национальную хартию о преобразовании эмирата в конституционную монархию с парламентом."
2001-02-16,,"В приштине (косово) совершен террористический подрыв автобуса компании «ниш-экспресс», погибли 12 человек, 22 ранены."
2001-02-18,,"В сша арестован роберт ханссен - высокопоставленный сотрудник фбр, шпионивший в пользу москвы."
2001-02-19,,На орт начато вещание телеигры «кто хочет стать миллионером?».
2001-02-20,,"На общенациональном референдуме в йемене одобрены поправки к конституции, увеличившие президентский срок с 5 до 7 лет."
2001-02-22,,По приказу лидера банды «общак» совершён поджог кафе «чародейка» в комсомольске-на-амуре.
2001-02-25,,"Парламентские выборы в молдове: победила партия коммунистов (50,07% голосов, 71 из 101 мест)."
2001-02-26,,"Подписан ниццкий договор (о реформировании европейского союза), вносящий изменения в маастрихтский и римский договоры."
2001-02-28,,"Крушение пассажирского поезда близ шелби (великобритания): 10 человек погибли, 82 пострадали."
2001-03-01,,Введён визовый режим между россией и грузией.
2001-03-01,,В болгарии проведена перепись населения.
2001-03-04,,В афганистане талибы начали уничтожение древних статуй будды; в течение нескольких дней две гигантские статуи полностью разрушены.
2001-03-04,,В швейцарии на референдуме большинство населения высказалось против вступления страны в евросоюз.
2001-03-04,,В лондоне боевики ира заложили бомбу в автомобиль у здания bbc: при взрыве ранен 1 человек.
2001-03-07,,Ариэль шарон избран премьер-министром израиля.
2001-03-08,,"Стартовал 103-й космический шаттл (миссия sts-102, шаттл «дискавери») - доставка экипажа и груза на мкс."
2001-03-09,,В киеве на митинге движения «украина без кучмы» в день рождения тараса шевченко произошли столкновения протестующих с милицией; акции протеста продолжались до апреля.
2001-03-11,,Вторая чеченская война: на северо-кавказской железной дороге подорван грузовой состав; с рельсов сошло несколько вагонов.
2001-03-12,,Йовери мусевени переизбран президентом уганды.
2001-03-13,,Американский истребитель f/a-18 во время учений в небе кувейта случайно сбросил бомбу: на учебном полигоне погибли 5 американских и 1 новозеландский военнослужащий.
2001-03-15,2001-03-16,"В турции трое чеченских террористов захватили самолёт ту-154, следовавший из стамбула в москву; лайнер посажен в саудовской аравии, где штурмом заложники освобождены (стюардесса и один террорист погибли)."
2001-03-16,,Серия взрывов на хлопковых заводах в городе шицзячжуан (китай): около 108 человек погибли.
2001-03-16,,Международный суд в гааге вынес решение о разделе спорных хаварских островов и отмелей фашт-ад-дибаль между бахрейном и катаром.
2001-03-23,,Российская орбитальная станция «мир» затоплена в тихом океане возле острова фиджи.
