date_start,date_end,event
2002-01-01,,В наличное обращение в странах европейского союза введена единая валюта - евро.
2002-01-01,,В россии введён налог на добычу полезных ископаемых.
2002-01-01,,Вступил в силу закон рф «о государственном пенсионном обеспечении в рф».
2002-01-01,,Леви мванаваса вступил в должность президента замбии (до 2008 г.).
2002-01-01,,Майкл блумберг стал мэром нью-йорка (до 2013 г.).
2002-01-01,,Каспар филлигер вступил в должность президента швейцарии (на 2002 г.).
2002-01-01,,Испания заняла пост председателя совета ес (на i полугодие 2002).
2002-01-01,,Председательство в «большой восьмёрке» перешло к канаде (на 2002 год).
2002-01-01,,Тайвань вступил во всемирную торговую организацию (вто).
2002-01-02,,Эдуардо дуальде избран парламентом временным президентом аргентины (до 25 мая 2003 г.).
2002-01-07,,Принята новая конституция комор. государство переименовано из федерально-исламской республики коморские острова в союз коморских островов.
2002-01-09,,"Война в афганистане: американский самолёт kc-130r «геркулес» разбился о гору при посадке на базу шамси (пакистан), 7 человек погибли."
2002-01-10,,Энрике боланьос вступил в должность президента никарагуа (до 2007 г.).
2002-01-11,,Первые заключённые доставлены на американскую базу гуантанамо (куба). тюрьма впоследствии стала известна случаями пыток заключённых.
2002-01-12,,Португалия заняла пост председателя обсе (на 2002 год).
2002-01-13,,"В россии состоялись выборы глав республики адыгея и кабардино-балкарии: президентами избраны хазрет совмен и валерий коков, соответственно."
2002-01-13,,"«инцидент с солёным кренделем»: президент сша джордж буш подавился кренделем и потерял сознание на несколько секунд во время просмотра футбольного матча, что вызвало общественный резонанс."
2002-01-14,2002-01-20,В лозанне прошёл чемпионат европы по фигурному катанию. победила сборная россии в командном зачёте.
2002-01-14,,"Аварийная посадка ту-204 в омске (россия), обошлось без пострадавших."
2002-01-15,,В провинции хунань (китай) взрыв на шахте унёс жизни 25 горняков.
2002-01-15,,Ирландец пэт кокс избран председателем европарламента (до июля 2004 г.).
2002-01-15,,В тулузе совершил первый полёт авиалайнер airbus a318.
2002-01-16,,Сб оон единогласно ввёл санкции против организации «аль-каида» и движения «талибан».
2002-01-16,,"Под джокьякартой (индонезия) потерпел катастрофу boeing 737 компании garuda indonesia, 1 человек погиб."
2002-01-17,,"Гражданская война в колумбии: ультраправые боевики убили 26 жителей деревни ченке, саму деревню сожгли."
2002-01-18,,"Вторая чеченская война: в махачкале подорван грузовик внутренних войск рф, 8 военнослужащих погибли, 10 ранены."
2002-01-19,,"Война в афганистане: в районе кабула разбился вертолёт ch-53e корпуса морской пехоты сша (отказ двигателей), 2 погибших, 5 раненых."
