<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MTLR;D;20081226;000000;123.25;123.25;110;114;9;0
MTLR;D;20081229;000000;114;114;110.6;110.6;6;0
MTLR;D;20081230;000000;112.7;112.7;112.7;112.7;351;0
MTLR;D;20081231;000000;113.4;113.4;113.4;113.4;1;0
MTLR;D;20090111;000000;130;130;116;121;1877;0
MTLR;D;20090112;000000;124.85;145;122.66;132.85;12504;0
MTLR;D;20090113;000000;128.88;140;120.02;121.45;34763;0
MTLR;D;20090114;000000;121.45;122;111.11;113;11532;0
MTLR;D;20090115;000000;112.9;118.49;105.03;106;12011;0
MTLR;D;20090116;000000;108.25;111.9;106;107.5;13325;0
MTLR;D;20090119;000000;108;108;97.5;99.6;6489;0
MTLR;D;20090120;000000;95;100;90;92.5;22316;0
MTLR;D;20090121;000000;85.05;89.99;83;85;69797;0
MTLR;D;20090122;000000;94.88;94.88;76;80;84730;0
MTLR;D;20090123;000000;84.99;84.99;73;75;15911;0
MTLR;D;20090126;000000;77;88.5;76.7;87;247892;0
MTLR;D;20090127;000000;89.99;105;82;93;82223;0
MTLR;D;20090128;000000;93.5;93.5;88.11;91.51;10706;0
MTLR;D;20090129;000000;94.79;99.95;92;92;6901;0
MTLR;D;20090130;000000;92;97.47;90.01;95.13;13007;0
MTLR;D;20090202;000000;99.29;103.99;96;101.89;27533;0
MTLR;D;20090203;000000;102.9;111.99;100.02;111.9;63973;0
MTLR;D;20090204;000000;113;125;112;124;74388;0
MTLR;D;20090205;000000;124.25;149.99;124.25;130;292125;0
MTLR;D;20090206;000000;138.45;148.49;129.02;147;56380;0
MTLR;D;20090209;000000;149.21;205.86;149.21;173.99;231330;0
MTLR;D;20090210;000000;180;217;175.47;188.8;253318;0
MTLR;D;20090211;000000;181.02;183.5;168.8;175.1;115028;0
MTLR;D;20090212;000000;175.05;175.1;150;154.15;63691;0
MTLR;D;20090213;000000;163;163.3;155;159;45449;0
MTLR;D;20090216;000000;157.13;159.79;149.5;156;18777;0
MTLR;D;20090217;000000;158.6;158.79;131;143.69;32462;0
MTLR;D;20090218;000000;145;147;130.1;139;26270;0
MTLR;D;20090219;000000;145.7;147;135.02;142;22858;0
MTLR;D;20090220;000000;142.5;160;126.62;134;82777;0
MTLR;D;20090224;000000;128.1;139.87;123.01;134.9;17410;0
MTLR;D;20090225;000000;149.23;156;139.9;142;110906;0
MTLR;D;20090226;000000;155.5;159;135.2;150;295294;0
MTLR;D;20090227;000000;139.8;146;131.02;134.97;304060;0
MTLR;D;20090302;000000;131.27;133.99;125;130.46;59018;0
MTLR;D;20090303;000000;127.75;140.35;126.5;128;115676;0
MTLR;D;20090304;000000;134.25;140;130;131.99;251256;0
MTLR;D;20090305;000000;137.99;137.99;128.5;128.51;100658;0
MTLR;D;20090306;000000;128.26;129.9;125.13;126;98215;0
MTLR;D;20090310;000000;128.5;134.5;126.1;132.8;294403;0
MTLR;D;20090311;000000;133.47;135.99;126.8;128.44;165833;0
MTLR;D;20090312;000000;128.2;128.97;120;121.12;141898;0
MTLR;D;20090313;000000;123.34;128.8;122;126;209897;0
MTLR;D;20090316;000000;128.5;133.5;126;133;118418;0
MTLR;D;20090317;000000;135.55;135.55;124.99;129;233945;0
MTLR;D;20090318;000000;130.06;131;124.8;126.5;93384;0
MTLR;D;20090319;000000;133.15;138.5;130;134.13;419279;0
MTLR;D;20090320;000000;135.25;145;135.11;142;259237;0
MTLR;D;20090323;000000;144.5;163;140.02;160.41;304911;0
MTLR;D;20090324;000000;157.35;165;144.05;147;471222;0
MTLR;D;20090325;000000;147;157.3;140.1;154;240800;0
MTLR;D;20090326;000000;156.05;159.9;148.5;157.99;232613;0
MTLR;D;20090327;000000;157.55;159.99;146.01;151;205380;0
MTLR;D;20090330;000000;149.75;149.75;138.81;140;85725;0
MTLR;D;20090331;000000;141;148;136.04;146.89;55983;0
MTLR;D;20090401;000000;148.99;149.95;141.1;145.92;57386;0
MTLR;D;20090402;000000;149.59;157;146.53;152.5;195027;0
MTLR;D;20090403;000000;157.5;157.5;151.99;156.29;101882;0
MTLR;D;20090406;000000;161.75;168.3;157;157.99;220117;0
MTLR;D;20090407;000000;156.51;161.51;155.01;158.98;66186;0
MTLR;D;20090408;000000;158;168.87;152.51;167;330105;0
MTLR;D;20090409;000000;170.5;199;169.05;198.9;293615;0
MTLR;D;20090410;000000;211;211;190.01;194.5;88065;0
MTLR;D;20090413;000000;187.42;198;187.42;195;59768;0
MTLR;D;20090414;000000;202.35;214.9;201.01;209.9;122949;0
MTLR;D;20090415;000000;200;204.94;190;202;91539;0
MTLR;D;20090416;000000;204.01;210;200.82;206.5;53433;0
MTLR;D;20090417;000000;211.36;218.01;208;218;104203;0
MTLR;D;20090420;000000;215.13;221.95;195.2;199;127344;0
MTLR;D;20090421;000000;195;199;180.18;193.6;216834;0
MTLR;D;20090422;000000;195.08;203.87;192.99;201.98;107069;0
MTLR;D;20090423;000000;201;207;198.75;203;131762;0
MTLR;D;20090424;000000;208.67;208.67;200;206;59546;0
MTLR;D;20090427;000000;200.89;203.5;195.5;198.9;22064;0
MTLR;D;20090428;000000;196;196;181.01;186.78;43867;0
MTLR;D;20090429;000000;187.5;189.89;185.01;187;202953;0
MTLR;D;20090430;000000;187;189.9;183.99;186.96;351933;0
MTLR;D;20090504;000000;200;207;193;206;259145;0
MTLR;D;20090505;000000;214.5;216.99;206.14;212.96;150332;0
MTLR;D;20090506;000000;213.65;223;206.18;214.5;97101;0
MTLR;D;20090507;000000;230;239.99;218;228.8;177723;0
MTLR;D;20090508;000000;227;234.99;223.31;230.5;40151;0
MTLR;D;20090512;000000;228.8;244;224;244;100235;0
MTLR;D;20090513;000000;254.5;259;225;231.31;71836;0
MTLR;D;20090514;000000;229.99;229.99;215.02;224.5;56406;0
MTLR;D;20090515;000000;227.58;230;219.99;226.8;31213;0
MTLR;D;20090518;000000;216.4;232;216.4;232;34371;0
MTLR;D;20090519;000000;245.5;255;235.3;255;87382;0
MTLR;D;20090520;000000;255.65;272;251;269;204397;0
MTLR;D;20090521;000000;262.5;265.8;250;256.1;115999;0
MTLR;D;20090522;000000;256;259.85;250.01;257.97;21134;0
MTLR;D;20090525;000000;259.98;259.98;250.33;256.98;14586;0
MTLR;D;20090526;000000;257.7;258.78;242.3;255.89;44016;0
MTLR;D;20090527;000000;260.5;271;256;265.88;76840;0
MTLR;D;20090528;000000;266.91;283;262;272.9;95062;0
MTLR;D;20090529;000000;280;288.89;277.07;283;94185;0
MTLR;D;20090601;000000;287;299.4;283;298.99;303224;0
MTLR;D;20090602;000000;303.51;316.99;289;316.5;389806;0
MTLR;D;20090603;000000;328.25;328.25;300;303;75907;0
MTLR;D;20090604;000000;298.21;308;287;294.99;78006;0
MTLR;D;20090605;000000;295.6;312;292.01;302.99;36650;0
MTLR;D;20090608;000000;302.98;303.1;282;289;18244;0
MTLR;D;20090609;000000;300.9;300.9;286.75;291.99;22774;0
MTLR;D;20090610;000000;294.7;297.1;280;293.47;35875;0
MTLR;D;20090611;000000;295.35;296;280;290.98;67657;0
MTLR;D;20090615;000000;289.39;289.4;263.31;266.97;42428;0
MTLR;D;20090616;000000;261.34;284.3;259;283.98;114912;0
MTLR;D;20090617;000000;283;294;256.36;262.99;61235;0
MTLR;D;20090618;000000;263;269;245.01;268;77510;0
MTLR;D;20090619;000000;268.79;280.9;262.01;274.45;61877;0
MTLR;D;20090622;000000;274.5;275.99;236.1;242.63;80790;0
MTLR;D;20090623;000000;235;249.9;220.02;238.5;67135;0
MTLR;D;20090624;000000;245;258.8;243.27;252.9;94095;0
MTLR;D;20090625;000000;250.49;250.49;236;244;53834;0
MTLR;D;20090626;000000;247.19;254.99;237;244.44;51690;0
MTLR;D;20090629;000000;236.11;248.4;232.22;248.4;15020;0
MTLR;D;20090630;000000;249.55;254.6;239;241.5;82167;0
MTLR;D;20090701;000000;243.99;245.99;238.3;245.98;15567;0
MTLR;D;20090702;000000;244.5;254;243.93;254;82112;0
MTLR;D;20090703;000000;250;253.5;245.5;253;45812;0
MTLR;D;20090706;000000;251;254.5;235;239.45;29751;0
