date_start,date_end,event
2021-01-01,,Запрет использования пластиковых пакетов в магазинах в крупных городах КНР;
2021-01-01,,Вступление в силу Африканской континентальной зоны свободной торговли;
2021-01-01,,Прекращение выдачи бумажных трудовых книжек в Российской Федерации;
2021-01-01,,Начало поставки компанией «Газпром» природного газа в Сербию и Боснию и Герцеговину по новому маршруту;
2021-01-01,,"Увеличение пенсионного возраста в Беларуси на 6 месяцев (до 62,5 лет для мужчин и до 57,5 лет для женщин);"
2021-01-01,,Полный выход Великобритании из Европейского союза;
2021-01-01,,Снижение экспортных пошлин на нефть и нефтепродукты в Беларуси;
2021-01-01,,Запрет экспорта одноразового неразлагающегося пластика в Европе.
2021-01-01,,Сенат США преодолел вето Дональда Трампа на законопроект с санкциями против «Северного потока — 2».
2021-01-02,,Откладывание Пентагоном полномасштабного производства истребителей «F-35» на неопределённый срок;
2021-01-02,,Отказ норвежской компанией «DNV GL» в сертификации газопровода «Северный поток — 2» в связи с угрозами санкций США;
2021-01-02,,"Президент Казахстана Касым-Жомарт Токаев подписал закон, направленный на отмену смертной казни в республике."
2021-01-03,,Проведение в годовщину убийства Касема Сулеймани многотысячных митингов в Багдаде и Тегеране;
2021-01-03,,Принятие Папой римским отставки главы белорусских католиков Тадеуша Кондрусевича;
2021-01-04,,Отказ Министерством просвещения Российской Федерации от введения обязательного ЕГЭ по иностранному языку;
2021-01-04,,Возобновление обогащения урана Ираном на уровне 20 % на ядерном полигоне Фордо;
2021-01-04,,Открытие границы Катара и Саудовской Аравии;
2021-01-04,,"Лондонский суд постановил, что Джулиан Ассанж не может быть экстрадирован в США;"
2021-01-04,,Введение в Великобритании третьего национального локдауна (объявлено Борисом Джонсоном);
2021-01-04,,Получение компанией «Tesla» разрешения на импорт автомобилей в Израиль.
2021-01-05,,"Принятие иранским парламентом закона, обязывающего правительство уничтожить израиль к 2041 году."
2021-01-06,,"Захват здания конгресса сша сторонниками дональда трампа в вашингтоне (округ колумбия), с целью отвергнуть официальные результаты президентских выборов 2020 года и поддержать требование трампа к вице-президенту майку пенсу и конгрессу не признавать победу джо байдена на выборах 2020 года. во время штурма погибли 5 человек."
2021-01-07,,Джозеф байден избран конгрессом сша новым президентом сша.
2021-01-08,,Социальная сеть «twitter» заблокировала аккаунт дональда трампа.
2021-01-09,,Крушение boeing 737 авиакомпании «sriwijaya air» в яванском море.
2021-01-10,,Проведение президентских выборов и конституционного референдума в Кыргызстане;
2021-01-10,,Проведение парламентских выборов в Казахстане.
2021-01-12,,Полное отключение разработчиком функций «adobe flash player».
2021-01-13,,"Палата представителей сша проголосовала за импичмент дональда трампа за подстрекание к «вооружённому восстанию против америки». тем самым трамп стал первым президентом в истории страны, которому дважды объявили импичмент."
2021-01-14,,Проведение всеобщих выборов в уганде.
2021-01-15,,Выход России из «Договора по открытому небу»;
2021-01-15,,Википедии исполнилось 20 лет;
2021-01-15,,Уход Правительства Нидерландов в отставку.
2021-01-20,,Вступление джо байдена в должность президента сша.
2021-01-23,,Проведение протестов в поддержку алексея навального в российских городах.
2021-01-24,,Переизбрание марселу ребелу де соуза на пост президента португалии на второй срок.
2021-01-26,,Количество подтверждённых случаев заболевания covid-19 в мире превысило 100 миллионов человек.
2021-01-28,,Вступление садыра жапарова в должность президента кыргызстана.
2021-01-29,,"Подписание президентом россии владимиром путиным закона о ратификации соглашения, продлевающего на пять лет действие «снв-3»."
2021-02-01,,"Объявление вооружёнными силами мьянмы чрезвычайного положения. задержание президента мьянмы вин мьина, а также государственного советника мьянмы и лидера правящей национальной лиги за демократию аун сан су чжи."
2021-02-02,,"Джефф безос заявил об уходе с поста директора «amazon» в третьем квартале текущего года, предложив в качестве нового директора эндрю джесси."
2021-02-03,,"Канада стала первой страной в мире, объявившей «proud boys» террористической организацией."
2021-02-09,,"Успешный выход межпланетной станции «аль-амаль» («надежда»), созданной в объединённых арабских эмиратах, на орбиту марса."
2021-02-13,,Вступление марио драги в должность председателя совета министров италии. окончание правительственного кризиса в стране.
2021-02-18,,Посадка марсохода «персевирэнс» на марс.
2021-02-26,,"Американские ввс по приказу президента джо байдена нанесли серию авиаударов по территории сирии. целью ударов стали склады, принадлежащие группировке «катаиб хезболла» и некоторым другим, которые поддерживает иран."
2021-03-05,,"Молдова стала первой страной в европе, которая получила вакцины против коронавируса через инициативу «covax»."
2021-03-07,,"На референдуме в швейцарии более 51 % проголосовавших одобрили общенациональный запрет на ношение бурки. швейцария стала 7-й страной в европе, которая запретила ношение бурки, после австрии, дании, франции, бельгии, латвии и болгарии."
2021-03-15,2021-03-17,проведение парламентских выборов в Палату представителей в Нидерландах.
2021-03-23,,Проведение досрочных парламентских выборов в Израиле;
2021-03-23,,Авария контейнеровоза «Ever Given» в Суэцком канале.
2021-04-01,,"После правительственного кризиса в словакии, премьер-министром в стране назначен эдуард хегер."
2021-04-02,,В уезде хуалянь на тайване после столкновения с автокраном сошёл с рельсов пассажирский поезд. погиб 51 человек.
2021-04-04,,Избрание парламентом вьетнама президента страны нгуен суан фука.
2021-04-09,,"Смерть принца филиппа, консорта елизаветы ii."
