date_start,date_end,event
2013-01-01,,"Во всех регионах России начато внедрение универсальной электронной карты, в которой совмещены практически все документы, в том числе паспорт, водительское удостоверение, СНИЛС, медицинский полис, проездной билет, а также банковская карта."
2013-01-01,,Украина стала председателем ОБСЕ.
2013-01-01,,"В России вступил в силу закон, запрещающий американским гражданам усыновление российских детей («Закон Димы Яковлева»)."
2013-01-05,,"В связи с реализацией ноябрьского решения генассамблеи оон о повышении статуса до государства-наблюдателя при организации, издан указ председателя палестинской национальной администрации (пна) махмуда аббаса, предписывающий впредь использовать в официальных целях вместо пна — исключительно название государство палестина; себя м. аббас распорядился называть президентом государства. сша, израиль, норвегия, швеция и испания это решение не признали."
2013-01-09,,Парламент Ливии принял решение об изменении названия государства с Ливийской Арабской Джамахирии на Государство Ливия.
2013-01-09,,"Апофис сблизился с Землёй на расстояние 14,46 млн км."
2013-01-11,,"В мали в связи с боевыми действиями введено чрезвычайное положение, также в страну по просьбе её правительства введены французские войска."
2013-01-11,2013-01-12,выборы президента Чехии. Во второй тур вышли Милош Земан и Карел Шварценберг.
2013-01-13,,"В пакистане начался «марш миллионов»: в исламабад отправились тысячи митингующих под руководством теолога тахира кадри с требованием реформ избирательной системы, смены власти и искоренения «существующей в стране коррупционной феодальной системы»."
2013-01-14,,Отменены выездные визы для выезда за границу граждан кубы.
2013-01-16,,Захват террористами многочисленных заложников на нефтегазовом комплексе компании bp в алжире в знак протеста против французской военной операции в мали.
2013-01-20,,Барак обама вступил в должность президента сша на второй срок.
2013-01-22,,Парламентские выборы в израиле. большинство (31) голосов получил предвыборный блок партий ликуд и наш дом — израиль во главе с действующим премьер-министром биньямином нетаньяху.
2013-01-23,,Досрочные парламентские выборы в Иордании.
2013-01-23,,Парламент Каталонии принял декларацию о государственном суверенитете региона и праве нации на самоопределение.
2013-01-23,2013-01-27,"всемирный экономический форум (Давос, Швейцария)."
2013-01-23,2013-02-03,33-й чемпионат мира по хоккею с мячом (Швеция и Норвегия). Победителем стала сборная России.
2013-01-25,2013-01-26,второй тур выборов президента Чехии. Победу одержал Милош Земан.
2013-01-27,,"Пожар в ночном клубе «kiss» в бразильском городе санта-мария штата риу-гранди-ду-сул, 236 человек погибли."
2013-02-02,2013-02-05,"Архиерейский собор Русской православной церкви (Москва, Россия)."
2013-02-03,,Парламентские выборы на кубе.
2013-02-07,,Запуск первого азербайджанского искусственного спутника azersat-1.
2013-02-07,,"Автокатастрофа в замбии, погибли 51 человек, ещё 28 человек получили травмы."
2013-02-07,2013-02-17,63-й Берлинский международный кинофестиваль.
2013-02-07,2013-02-17,В Нове-Место (Чехия) прошёл чемпионат мира по биатлону.
2013-02-10,,Парламентские выборы в монако. победу одержала оппозиционная коалиция горизонт монако.
2013-02-12,,"Кндр провела третьи со времён объявления себя ядерной державой ядерные испытания, осуществив ядерный взрыв на глубине 1 км, вопреки конвенциям и резолюциям оон."
2013-02-15,,"В челябинской области упал челябинский метеорит. пострадало 1615 человек, никто не погиб."
2013-02-17,,Президентские выборы на Кипре. Во второй тур вышли Никос Анастасиадис и Ставрос Малас.
2013-02-17,,Выборы президента Эквадора. Победу одержал действующий президент Рафаэль Корреа.
2013-02-18,,Выборы президента армении. победу одержал кандидат серж саргсян.
2013-02-20,,Премьер-министр болгарии бойко борисов объявил об отставке правительства из-за массовых акций протеста в связи с повышением цен на электричество и отопление.
2013-02-20,2013-03-03,"чемпионат мира по лыжным видам спорта (Валь-ди-Фьемме, Италия)."
2013-02-24,,Новым Патриархом Болгарским избран Неофит.
2013-02-24,,Парламентские выборы в Италии.
2013-02-24,,Второй тур выборов президента Республики Кипр. Победу одержал Никос Анастасиадис.
2013-02-25,,Вступила в должность президент южной кореи пак кын хе.
2013-02-28,,Завершился понтификат папы римского бенедикта xvi.
2013-03-02,,Таджикистан вступил во всемирную торговую организацию.
2013-03-04,,Выборы президента кении. победил вице-премьер страны ухуру кениата.
2013-03-05,,"В полном составе отправлено в отставку правительство молдовы, представлявшее альянс «за европейскую интеграцию»."
2013-03-08,,Николас Мадуро принял присягу в качестве временно исполняющего обязанности президента Венесуэлы до выборов нового президента вместо скончавшегося Уго Чавеса.
2013-03-08,,Милош Земан вступил в должность президента Чехии.
2013-03-08,,Корейская Народно-Демократическая Республика расторгла договор о ненападении с Корейской республикой.
2013-03-09,,Парламентские выборы на Мальте.
2013-03-09,,"В Пакистанском городе Лахор произошли столкновения местных христиан с полицией. Причиной столкновений является конфликт между общинами христиан и мусульман, начавшийся с оскорбления христианами пророка Мухаммеда, в ответ мусульмане сожгли дома христиан."
2013-03-10,2013-03-11,референдум по статусу Фолклендских островов.
2013-03-11,2013-03-17,"чемпионат мира по фигурному катанию (Лондон, Канада)."
2013-03-13,,В чилийской пустыне Атакама запущен самый мощный телескоп на планете.
2013-03-13,,"Новым папой римским избран Хорхе Марио Бергольо, взявший имя Франциск."
2013-03-14,,Новым председателем кнр избран си цзиньпин.
2013-03-16,,Космический корабль с международным экипажем союз тма-06м совершил посадку в казахстанской степи.
2013-03-19,,Интронизация папы римского франциска.
2013-03-23,,Антиправительственный мятеж в центральноафриканской республике с требованием отставки президента страны франсуа бозизе.
2013-03-27,,"В китае 20 уйгуров осуждены по обвинению в терроризме и призывах к отделению синьцзяна — региона, в котором мусульманский народ уйгуры, подвергающиеся в китае преследованию за свои религиозные убеждения, составляют большинство"
2013-03-29,,"Старт космического корабля союз тма-08м к международной космической станции. экипаж: павел виноградов, александр мисуркин (оба россия), кристофер кэссиди (сша)."
2013-03-31,,Глава повстанцев в центральноафриканской республике мишель джотодия провозгласил себя президентом страны и объявил о формировании временного правительства.
2013-04-05,,В результате драки между мусульманами и буддистами в иммиграционном центре в индонезии погибли 8 человек
2013-04-06,,В египте в результате столкновений между христианами и мусульманами погибли 5 человек
2013-04-07,,"Президентские выборы в черногории. по предварительным результатам, победу одержал действующий президент филип вуянович."
2013-04-09,,"Землетрясение в иранской провинции Бушир магнитудой 6,3. Погибли 37 человек, около 850 получили ранения."
2013-04-09,,"В сербской деревне Велика-Иванча местный житель Любиша Богданович убил 13 своих родственников, среди которых были шесть мужчин, шесть женщин и один двухгодовалый ребёнок, и покончил с собой."
2013-04-09,,Сенат Франции легализовал однополые браки
2013-04-14,,"Выборы президента Венесуэлы. Победу одержал Николас Мадуро, однако сторонники оппозиционного кандидата Энрике Каприлеса не признали результаты выборов."
2013-04-14,,В Испании состоялась многотысячная демонстрация с требованием упразднения монархии и введения республиканской формы правления.
2013-04-15,,"В бостоне (сша) на финише бостонского марафона прогремели два взрыва. 3 человека погибли, 282 человека ранены. теракт был организован чеченцами братьями царнаевыми."
2013-04-16,,"Движение за освобождение дельты нигера заявило, что развернёт «террористическую войну», чтобы «защитить христианство» в нигерии от атак исламской группировки боко харам."
2013-04-20,,"Мощное землетрясение магнитудой 7 произошло в китайской провинции Сычуань. Более 200 человек погибли, более 11 тысяч ранены."
2013-04-20,,Джорджо Наполитано стал первым в истории Италии переизбранным президентом.
2013-04-21,,Парламентские и президентские выборы в парагвае. президентом парагвая избран орасио картес.
2013-04-24,,В саваре (бангладеш) обрушилось 8-этажное здание. погибли 1127 человек.
2013-04-26,,По обвинению в коррупции арестован президент боснии и герцеговины живко будимир.
2013-04-27,,Парламентские выборы в исландии.
2013-04-30,,Королева нидерландов беатрикс отреклась от престола в пользу сына принца виллема-александра.
2013-05-03,2013-05-19,"77-й чемпионат мира по хоккею с шайбой (Стокгольм, Швеция и Хельсинки, Финляндия). Сборная Швеции выиграла чемпионат мира в девятый раз."
2013-05-05,,Парламентские выборы и выборы ассамблей 12 штатов в малайзии. победу одержала правящая коалиция национальный фронт.
2013-05-07,,"C космодрома куру (французская гвиана) запущена европейская лёгкая ракета-носитель вега с европейским спутником земли проба-в, вьетнамским спутником vnredsat-1 и первым эстонским космическим аппаратом estcube-1."
2013-05-10,,"В нью-йорке на месте всемирного торгового центра, разрушенного в результате террористических актов 11 сентября 2001 года, завершено строительство здания башни свободы, ставшей самым высоким зданием в западном полушарии."
2013-05-11,,Парламентские выборы в пакистане. победу одержала партия пакистанская мусульманская лига.
2013-05-12,,Досрочные парламентские выборы в болгарии. большинство мест получила правящая партия герб.
2013-05-14,,"Космический корабль союз тма-07м совершил посадку в казахстанской степи. экипаж посадки роман романенко, томас маршбёрн, кристофер хэдфилд."
2013-05-14,2013-05-18,"58-й Конкурс песни Евровидение (Мальмё, Швеция). Победу одержала датская певица Эммили де Форест."
2013-05-15,2013-05-26,"66-й Каннский кинофестиваль (Канны, Франция)."
2013-05-16,,Армения стала председателем комитета министров совета европы.
2013-05-22,,"В столице великобритании лондоне два местных члена мусульманской общины нигерийского происхождения показательно убили военного барабанщика ли ригби. после убийства один из исламистов потребовал, чтобы прохожие сняли его на камеры своих мобильных телефонов. не смыв кровь с рук и держа в них холодное оружие, он заявил: «око за око, зуб за зуб. вы думаете, что после этого дэвид кэмерон выйдет защищать вас, думаете, когда мы возьмёмся за оружие, он пострадает? нет, страдать будут обычные люди — как вы и ваши дети. мир наступит только после того, как ваше правительство выведет войска…». это событие привело к всплеску исламофобских настроений в стране и спровоцировало серию атак ультраправых на мусульман."
2013-05-24,,"В охотском море произошло землетрясение магнитудой 6,9 на глубине свыше 600 км. отголоски этого землетрясения ощущались на большей части россии."
2013-05-29,,"Старт космического корабля союз тма-09м к международной космической станции. экипаж фёдор юрчихин (россия), карен найберг (сша), лука пармитано (италия)."
2013-05-31,,В Турции начались массовые протесты с требованием отставки правительства страны.
2013-06-01,,"Монархическая партия россии назначила карла эмиха лейнингенского принявшего православие, и имя «николай кириллович» главой дома романовых и императором романовской империи под именем «николая iii»."
2013-06-01,2013-11-24,55-я Венецианская биеннале.
2013-06-02,,Конституционный суд египта признал незаконной конституцию страны и распустил верхнюю палату парламента.
2013-06-05,,Премьер-министром пакистана в четвёртый раз утверждён лидер правящей партии пакистанская мусульманская лига наваз шариф.
2013-06-08,,Парламентские выборы в науру.
2013-06-11,,"С космодрома Цзюцюань запущен китайский космический корабль Шэньчжоу-10. В составе экипажа Чжан Сяогуан, Не Хайшэн и женщина-космонавт Ван Япин."
2013-06-11,,Парламент Науру избрал президентом страны композитора Барона Дивавеси Вака.
2013-06-14,,Выборы президента ирана. победу одержал хасан рухани.
2013-06-16,,Конституционный суд кувейта принял решение о роспуске парламента страны и проведении досрочных парламентских выборов.
2013-06-17,2013-06-18,"саммит G8 (Лох-Эрн, Великобритания)."
2013-06-17,2013-06-23,"50-й Международный авиационно-космический салон Paris Ais Show 2013 (Ле Бурже, Франция)."
