date_start,date_end,event
2004-01-03,,Катастрофа boeing 737 под шарм-эш-шейхом.
2004-01-04,,Лидер партии Единое национальное движение и бывший министр юстиции Михаил Саакашвили одержал победу на президентских выборах в Грузии.
2004-01-04,,Марсоход «Спирит» (MER-A) успешно спустился на поверхность Марса.
2004-01-05,2004-01-10,профессиональный женский теннисный турнир Uncle Tobys Hardcourts 2004.
2004-01-05,2004-01-11,"19-й розыгрыш ежегодного международного женского профессионального теннисного турнира ASB Classic, проводящегося ежегодно в новозеландском Окленде в рамках 4-й категории WTA Тура."
2004-01-08,,Прошла церемония «крещения» морского суперлайнера «queen mary 2».
2004-01-11,,"Инцидент с поездом № 1908, в ходе которого, из-за психического расстройства машиниста, тяжёлый грузовой поезд весом 5175 тонн проехал ряд станций, несмотря на запрещающие показания светофоров. остановили его лишь путём отключения электроэнергии."
2004-01-13,,"Як-40 узбекских авиалиний выполнял внутренний пассажирский рейс из термеза, но при посадке в ташкенте приземлился за пределами взлётно-посадочной полосы, после чего врезался в строения и разрушился, при этом погибли 37 человек. крупнейшая авиационная катастрофа в узбекистане с 1991 года."
2004-01-19,,На кинофестивале sundance film festival состоялась премьера фильма ужасов «пила: игра на выживание».
2004-02-01,,Во время хаджа в мекке погиб 251 паломник.
2004-02-03,,"Состоялся viii всемирный русский народный собор, посвящённый теме «россия и православный мир»."
2004-02-04,,Начало работы крупнейшей в мире социальной сети facebook.
2004-02-06,,"В 8:32 на перегоне между станциями автозаводская — павелецкая в сторону центра в московском метрополитене произошёл террористический акт, в результате которого погибли 42 человека и свыше 250 получили ранения."
2004-02-09,,В санкт-петербурге совершено убийство восьмилетней таджикской девочки хуршеды султоновой. преступление вызвало глубокий общественный резонанс. вся история получила в сми название «убийство таджикской девочки».
2004-02-14,,Обрушение крыши в московском аквапарке «трансвааль-парк». погибли 28 человек.
2004-02-17,,Должность государственного министра грузии переименована в должность премьер-министра грузии. после переименования главой грузинского правительства остался зураб жвания.
2004-02-18,,"В селе хайям под нишапуром (иран) взорвался железнодорожный состав, в результате чего погибли около 300 человек, среди которых несколько крупных политиков."
2004-02-24,,Президент России Владимир Путин отправил в отставку правительство Михаила Касьянова. 5 марта председателем правительства был назначен Михаил Фрадков.
2004-02-24,,"На пороге своего дома убит Питер Нильсен — швейцарский диспетчер, виновник авиакатастрофы 2002 года над Боденским озером. Убийцей был Виталий Калоев — осетин по национальности, помогавший властям при поисках жертв и обломков самолётов."
2004-02-26,,В авиакатастрофе погиб президент македонии борис трайковский.
2004-02-28,,В ходе перестрелки с пограничниками смертельно ранен полевой командир чеченских террористов руслан гелаев.
2004-02-29,,"После свержения жан-бертрана аристида к присяге в качестве временного президента гаити приведён бонифас александр, главный судья верховного суда гаити."
2004-03-10,,Компания kodak подала иск в суд на sony за нарушение патентов на цифровые камеры kodak.
2004-03-11,,Серия терактов на железной дороге в мадриде. погибло 193 человека.
2004-03-12,,"Россия стала первой страной в мире, которая признала киберспорт официальным видом спорта по распоряжению главы госкомспорта россии вячеслава фетисова."
2004-03-14,,Выборы президента российской федерации. победил владимир путин.
2004-03-16,,Взрыв жилого дома в архангельске.
2004-03-17,2004-03-18,Беспорядки в Косове.
2004-03-24,,"Датский художник марко эваристти нарисовал айсберг красным в гренландии, потратив 2952 литра краски"
2004-03-25,,Владимир путин подписал федеральный конституционный закон об образовании нового субъекта российской федерации в результате объединения пермской области и коми-пермяцкого ао.
2004-03-28,,"В грузии прошли новые парламентские выборы, на которых лидировала партия «национальное движение — демократы»."
