date_start,date_end,event
2006-06-15,,Глава корпорации «microsoft» билл гейтс заявил о своём намерении с июля 2008 года уйти с поста председателя совета директоров компании.
2006-06-17,,"Парламентские выборы в словакии, формирование коалиции социал-демократической партии курс — социальная демократия, популистского движения за демократическую словакию и националистической словацкой национальной партии."
2006-07-01,,Начало информационного вещания телеканала «вести».
2006-07-02,,На президентских выборах в мексике победил фелипе кальдерон.
2006-07-03,,Астероид 2004 xp14 пролетел на расстоянии 432 308 километров от поверхности земли.
2006-07-04,,"115-й старт (sts-121) по программе спейс шаттл. 32-й полёт шаттла дискавери. экипаж — стивен линдсей, марк келли, майкл фоссум, пирс селлерс, лиза новак, стефани уилсон, томас райтер (германия)."
2006-07-09,,В Иркутске разбился Airbus A310 авиакомпании Сибирь. Погибли 125 человек.
2006-07-09,,"Закрытие чемпионата мира по футболу в Германии; сборная Италии, победив французов в серии послематчевых пенальти, стала чемпионом мира."
2006-07-10,,Вторая чеченская война: в ингушетии уничтожен в результате спецоперации (по другим данным — погиб из-за неосторожного обращения со взрывчаткой) один из лидеров террористов шамиль басаев.
2006-07-11,,Майкрософт прекратила поддержку ос windows 98 и windows me.
2006-07-12,,Начало войны израиля с ливаном.
2006-07-15,2006-07-17,в Санкт-Петербурге состоялся саммит глав стран «Большой восьмёрки».
2006-07-30,,"Трагедия в кане: разрушение трёхэтажного жилого дома в ливане в результате израильской бомбардировки, унёсшее жизни 28 мирных жителей."
2006-07-31,,Вошла в обращение купюра номиналом в 5000 рублей.
2006-08-08,,"В буйнакске (дагестан) на пути следования автомобиля прокурора буйнакска битара битарова была взорвана припаркованная у обочины автомашина. битаров скончался в больнице. через час после взрыва из махачкалы в буйнакск выехал глава мвд республики дагестан адильгерей магомедтагиров. в районе селения талги на дороге сработали два взрывных устройства, раздались автоматные очереди. магомедтагиров находился в бронированном автомобиле и поэтому не пострадал. двое сопровождавших его милиционеров погибли, ещё один получил ранения. бандитам удалось скрыться с места покушения."
